"","FC","log2(FC)","raw.pval","-log10(p)"
"504.2868 / 19.14",0.07025,-3.8314,3.037e-05,4.5176
"405.1157 / 22.50",0.095789,-3.384,3.037e-05,4.5176
"128.9852 / 1.85",0.3985,-1.3273,3.037e-05,4.5176
"304.1664 / 8.08",0.0024851,-8.6525,3.0674e-05,4.5132
"206.0825 / 3.58",6.7418,2.7531,3.0978e-05,4.5089
"245.1872 / 7.72  MH",0.0015381,-9.3446,3.2637e-05,4.4863
"338.1712 / 17.36  M-H-",0.0066205,-7.2389,3.3407e-05,4.4762
"619.7546 / 20.11  M2H2",0.011198,-6.4806,3.3407e-05,4.4762
"447.2441 / 12.76",0.015973,-5.9682,3.3407e-05,4.4762
"232.0971 / 3.60",5.3137,2.4097,3.5447e-05,4.4504
"215.1395 / 2.16",0.00048606,-11.007,3.5665e-05,4.4478
"814.3566 / 20.01",0.0025427,-8.6194,3.5665e-05,4.4478
"607.3201 / 18.51",0.0030239,-8.3694,3.5665e-05,4.4478
"346.2436 / 1.00",0.0036923,-8.0813,3.5665e-05,4.4478
"243.1710 / 6.86  M-H-",7.5731e-05,-13.689,3.6285e-05,4.4403
"463.9136 / 13.53  M3H3",8.1268e-05,-13.587,3.6285e-05,4.4403
"543.2772 / 16.91",0.0001118,-13.127,3.6285e-05,4.4403
"618.2794 / 20.62  M-H-",0.0002271,-12.104,3.6285e-05,4.4403
"354.2024 / 19.61  M-H-",0.00027701,-11.818,3.6285e-05,4.4403
"527.2337 / 19.11  M2H2",0.00028225,-11.791,3.6285e-05,4.4403
"413.2078 / 14.54  M2H2",0.00029726,-11.716,3.6285e-05,4.4403
"298.1403 / 8.89  M-H-",0.00032951,-11.567,3.6285e-05,4.4403
"453.2346 / 9.64",0.00040992,-11.252,3.6285e-05,4.4403
"366.2029 / 14.17",0.00042675,-11.194,3.6285e-05,4.4403
"433.2272 / 12.00  M2H2",0.00044592,-11.131,3.6285e-05,4.4403
"590.2780 / 11.00  MAcO-H-",0.00048491,-11.01,3.6285e-05,4.4403
"417.2377 / 8.49",0.0005152,-10.923,3.6285e-05,4.4403
"445.7038 / 11.29  MHK2",0.00052194,-10.904,3.6285e-05,4.4403
"571.7720 / 19.86  MHNa2",0.00053999,-10.855,3.6285e-05,4.4403
"538.2242 / 19.08  MHNa2",0.00059732,-10.709,3.6285e-05,4.4403
"340.1869 / 17.48  M-H-",0.00062926,-10.634,3.6285e-05,4.4403
"576.8104 / 19.66  M2H2",0.00067576,-10.531,3.6285e-05,4.4403
"701.2928 / 19.45  M-H-",0.00072406,-10.432,3.6285e-05,4.4403
"618.2828 / 19.90  M-H-",0.00073016,-10.42,3.6285e-05,4.4403
"692.3373 / 19.34",0.00074368,-10.393,3.6285e-05,4.4403
"538.3202 / 19.18  MNa",0.00074966,-10.381,3.6285e-05,4.4403
"389.2034 / 3.03  M-H-",0.00081333,-10.264,3.6285e-05,4.4403
"679.3252 / 19.29",0.00084064,-10.216,3.6285e-05,4.4403
"249.1236 / 3.37  MH",0.00085895,-10.185,3.6285e-05,4.4403
"544.3068 / 9.49",0.00086453,-10.176,3.6285e-05,4.4403
"478.2484 / 10.77  M2H2",0.00094849,-10.042,3.6285e-05,4.4403
"504.2652 / 11.48  MH",0.0010575,-9.8851,3.6285e-05,4.4403
"400.2191 / 11.88",0.0011641,-9.7466,3.6285e-05,4.4403
"580.2605 / 15.38  MNa",0.0011864,-9.7192,3.6285e-05,4.4403
"414.2352 / 6.06",0.0013656,-9.5162,3.6285e-05,4.4403
"320.1709 / 1.82",0.0014857,-9.3946,3.6285e-05,4.4403
"390.2066 / 7.41  M2H2",0.0017297,-9.1752,3.6285e-05,4.4403
"686.3111 / 19.69  M3H3",0.0026279,-8.5719,3.6285e-05,4.4403
"215.1394 / 10.06",0.0030865,-8.3398,3.6285e-05,4.4403
"558.2532 / 17.50  M2H2",0.0032506,-8.2651,3.6285e-05,4.4403
"391.2358 / 11.38",0.0033804,-8.2086,3.6285e-05,4.4403
"418.1920 / 11.46",0.0052,-7.5873,3.6285e-05,4.4403
"231.0714 / 13.01",25.612,4.6787,3.6285e-05,4.4403
"231.1343 / 2.42  M-H-",0.00027675,-11.819,3.6764e-05,4.4346
"303.1443 / 8.09  MH",0.0084388,-6.8887,3.6764e-05,4.4346
"769.1609 / 22.51",0.171,-2.5479,3.7053e-05,4.4312
"299.0063 / 0.43",0.20244,-2.3044,3.7053e-05,4.4312
"213.8888 / 1.80",0.37334,-1.4214,3.7053e-05,4.4312
"263.1010 / 11.72  MNa-2H-",0.011976,-6.3837,4.1192e-05,4.3852
"305.0833 / 1.84",6.644,2.7321,4.1336e-05,4.3837
"263.0747 / 7.02",3.6947,1.8854,4.1336e-05,4.3837
"278.1253 / 1.60",6.6897,2.742,4.2157e-05,4.3751
"250.1290 / 7.36  MH",10.745,3.4256,4.2622e-05,4.3704
"136.0399 / 7.76  MH",15.683,3.9711,4.2763e-05,4.3689
"262.1292 / 1.62",7.1634,2.8406,4.2839e-05,4.3682
"467.1613 / 22.62",5.3547,2.4208,4.2839e-05,4.3682
"303.1555 / 22.62  MNa",5.2483,2.3918,4.2839e-05,4.3682
"704.3971 / 19.78  MH",0.00033933,-11.525,4.3755e-05,4.359
"437.2385 / 13.74",0.00066058,-10.564,4.3755e-05,4.359
"316.1658 / 13.02  M-H2O-H-",0.00089492,-10.126,4.3755e-05,4.359
"420.1394 / 11.49  M-H-",0.001018,-9.9401,4.3755e-05,4.359
"330.1664 / 11.73  MH",0.0011118,-9.8129,4.3755e-05,4.359
"561.7787 / 19.86",0.0015258,-9.3562,4.3755e-05,4.359
"489.8974 / 16.49  M3H3",0.0015837,-9.3025,4.3755e-05,4.359
"452.7380 / 16.83",0.0021028,-8.8935,4.3755e-05,4.359
"544.2789 / 14.22",0.0022441,-8.7997,4.3755e-05,4.359
"298.1399 / 8.04",0.0023018,-8.7631,4.3755e-05,4.359
"514.2635 / 10.70  M2",0.0025056,-8.6407,4.3755e-05,4.359
"550.7730 / 19.34",0.0026311,-8.5701,4.3755e-05,4.359
"396.1524 / 18.91  MNa-2H-",0.0027328,-8.5154,4.3755e-05,4.359
"444.9064 / 15.61",0.0028229,-8.4686,4.3755e-05,4.359
"375.1522 / 5.70",0.0033513,-8.2211,4.3755e-05,4.359
"415.2356 / 8.13",0.0073786,-7.0824,4.3755e-05,4.359
"443.2219 / 13.94",0.01095,-6.5129,4.3755e-05,4.359
"375.2171 / 11.84  M2H2",0.0023669,-8.7228,4.3913e-05,4.3574
"334.1395 / 4.57  MCH3OHH",0.002603,-8.5856,4.3913e-05,4.3574
"473.2978 / 19.48",0.0047806,-7.7086,4.3913e-05,4.3574
"372.2128 / 11.80",0.0008661,-10.173,4.3992e-05,4.3566
"360.2038 / 6.71",0.0053741,-7.5398,4.3992e-05,4.3566
"231.1138 / 14.08",0.0058452,-7.4185,4.3992e-05,4.3566
"397.2247 / 11.63",0.0080336,-6.9597,4.3992e-05,4.3566
"293.0524 / 3.86",0.0405,-4.6259,4.6789e-05,4.3299
"132.0737 / 8.30",0.071161,-3.8128,4.6789e-05,4.3299
"131.0709 / 8.31  M-H-",0.08789,-3.5082,4.6789e-05,4.3299
"304.0251 / 8.22",0.10931,-3.1935,4.6789e-05,4.3299
"605.1546 / 22.51",0.12561,-2.993,4.6789e-05,4.3299
"367.1504 / 5.08",5.5295,2.4671,4.7734e-05,4.3212
"204.1233 / 7.36",32.267,5.012,4.8182e-05,4.3171
"267.1353 / 3.37  MH",0.0068356,-7.1927,4.8289e-05,4.3162
"244.1543 / 6.27",3.7693,1.9143,4.9015e-05,4.3097
"195.1141 / 3.74",5.8633,2.5517,4.9102e-05,4.3089
"114.1279 / 6.36",3.7976,1.9251,5.0411e-05,4.2975
"261.0587 / 1.80",8.7209,3.1245,5.0676e-05,4.2952
"309.0474 / 1.85",0.417,-1.2619,5.0676e-05,4.2952
"97.0284 / 1.84",6.1085,2.6108,5.0765e-05,4.2944
"713.1725 / 22.62",5.2272,2.386,5.0765e-05,4.2944
"252.0910 / 1.87",4.3199,2.111,5.0765e-05,4.2944
"443.2125 / 2.51",0.0024127,-8.6951,5.0862e-05,4.2936
"346.0556 / 6.88",60.881,5.9279,5.1123e-05,4.2914
"311.1592 / 3.40",0.002904,-8.4278,5.2368e-05,4.2809
"587.2841 / 11.32  M2H2",0.0030375,-8.3629,5.2368e-05,4.2809
"120.0809 / 5.55",0.0054135,-7.5292,5.2553e-05,4.2794
"261.1275 / 5.32",0.00074644,-10.388,5.2669e-05,4.2784
"896.4498 / 19.77  MAcO-H-",0.0014845,-9.3958,5.2669e-05,4.2784
"374.2289 / 13.56",0.0017292,-9.1756,5.2669e-05,4.2784
"430.1567 / 11.49  MNa-2H-",0.0024079,-8.698,5.2669e-05,4.2784
"300.1545 / 3.76",0.0025656,-8.6065,5.2669e-05,4.2784
"498.2194 / 14.12  M3H3",0.0030797,-8.343,5.2669e-05,4.2784
"397.2194 / 8.45  M-H-",0.0037258,-8.0682,5.2669e-05,4.2784
"392.1423 / 13.70  MNa-2H-",0.0043256,-7.8529,5.2669e-05,4.2784
"524.2869 / 17.59",0.0053753,-7.5394,5.2669e-05,4.2784
"247.1086 / 9.56",0.0061058,-7.3556,5.2669e-05,4.2784
"376.1502 / 14.32",0.0077485,-7.0119,5.2669e-05,4.2784
"429.2712 / 12.54  MH",7.4443e-06,-17.035,5.5476e-05,4.2559
"427.2544 / 12.52  M-H-",9.952e-06,-16.617,5.5476e-05,4.2559
"554.2824 / 13.14",1.2328e-05,-16.308,5.5476e-05,4.2559
"439.2266 / 10.13  M2H2",1.2921e-05,-16.24,5.5476e-05,4.2559
"743.4085 / 19.75",1.5549e-05,-15.973,5.5476e-05,4.2559
"395.2276 / 13.11  MNa",1.6085e-05,-15.924,5.5476e-05,4.2559
"552.2658 / 13.14",1.6607e-05,-15.878,5.5476e-05,4.2559
"229.1558 / 5.08  MH",1.8085e-05,-15.755,5.5476e-05,4.2559
"229.1554 / 12.51  MCH3OHH",1.8193e-05,-15.746,5.5476e-05,4.2559
"702.3816 / 19.79",1.8823e-05,-15.697,5.5476e-05,4.2559
"514.3221 / 19.17  M-H-",1.9713e-05,-15.63,5.5476e-05,4.2559
"453.2314 / 13.14  M-H-",2.0641e-05,-15.564,5.5476e-05,4.2559
"332.1398 / 14.14  MH",2.1896e-05,-15.479,5.5476e-05,4.2559
"439.7266 / 10.12",2.4954e-05,-15.29,5.5476e-05,4.2559
"530.3190 / 14.63  MCH3OHH",2.5263e-05,-15.273,5.5476e-05,4.2559
"469.2405 / 7.08",2.5629e-05,-15.252,5.5476e-05,4.2559
"418.7193 / 11.06  M2H2",2.5788e-05,-15.243,5.5476e-05,4.2559
"359.1931 / 3.48",2.5895e-05,-15.237,5.5476e-05,4.2559
"332.2191 / 7.10  MH",2.6369e-05,-15.211,5.5476e-05,4.2559
"674.2866 / 18.76  MH",3.1464e-05,-14.956,5.5476e-05,4.2559
"478.2315 / 5.71",3.1477e-05,-14.955,5.5476e-05,4.2559
"330.2029 / 7.08",3.1713e-05,-14.945,5.5476e-05,4.2559
"430.2644 / 12.62",3.2991e-05,-14.888,5.5476e-05,4.2559
"685.3525 / 18.05  M-H-",3.3693e-05,-14.857,5.5476e-05,4.2559
"387.1334 / 9.03",3.3749e-05,-14.855,5.5476e-05,4.2559
"342.2392 / 13.12",3.4126e-05,-14.839,5.5476e-05,4.2559
"690.3561 / 8.10  M-H-",3.4606e-05,-14.819,5.5476e-05,4.2559
"571.3082 / 19.42  M-H-",3.54e-05,-14.786,5.5476e-05,4.2559
"488.7299 / 11.10  M2H2",3.6476e-05,-14.743,5.5476e-05,4.2559
"801.3629 / 15.49  M-H-",3.8101e-05,-14.68,5.5476e-05,4.2559
"380.2201 / 12.88",3.8264e-05,-14.674,5.5476e-05,4.2559
"402.2137 / 3.79  M2H2",3.8408e-05,-14.668,5.5476e-05,4.2559
"670.4229 / 15.58",3.8808e-05,-14.653,5.5476e-05,4.2559
"437.2505 / 11.83",3.9792e-05,-14.617,5.5476e-05,4.2559
"585.2702 / 14.56  M2H2",4.0346e-05,-14.597,5.5476e-05,4.2559
"387.2239 / 8.16  M-H-",4.038e-05,-14.596,5.5476e-05,4.2559
"459.7504 / 10.67  M2H2",4.0479e-05,-14.592,5.5476e-05,4.2559
"443.2853 / 15.47  MH",4.0948e-05,-14.576,5.5476e-05,4.2559
"405.2144 / 10.22  M",4.2469e-05,-14.523,5.5476e-05,4.2559
"753.4254 / 11.79  M-H-",4.2508e-05,-14.522,5.5476e-05,4.2559
"552.3109 / 17.73  M2H2",4.278e-05,-14.513,5.5476e-05,4.2559
"482.2236 / 12.92  M-H-",4.3023e-05,-14.505,5.5476e-05,4.2559
"356.6859 / 3.96  M2H2",4.3065e-05,-14.503,5.5476e-05,4.2559
"358.1973 / 13.65  M-H-",4.3591e-05,-14.486,5.5476e-05,4.2559
"576.2576 / 17.53  M2H2",4.4055e-05,-14.47,5.5476e-05,4.2559
"502.7740 / 10.52  M2H2",4.4629e-05,-14.452,5.5476e-05,4.2559
"501.2305 / 7.93  M-H-",4.4622e-05,-14.452,5.5476e-05,4.2559
"378.2022 / 12.88",4.5337e-05,-14.429,5.5476e-05,4.2559
"745.4296 / 19.75  MH",4.594e-05,-14.41,5.5476e-05,4.2559
"343.7335 / 2.48",4.6195e-05,-14.402,5.5476e-05,4.2559
"409.2281 / 9.83",4.7477e-05,-14.362,5.5476e-05,4.2559
"470.2724 / 11.54",4.7713e-05,-14.355,5.5476e-05,4.2559
"729.3917 / 19.54",4.8078e-05,-14.344,5.5476e-05,4.2559
"803.3808 / 15.46  MH",4.8505e-05,-14.332,5.5476e-05,4.2559
"636.3357 / 19.68",4.8494e-05,-14.332,5.5476e-05,4.2559
"543.2464 / 15.30",4.9256e-05,-14.309,5.5476e-05,4.2559
"753.3889 / 12.12",4.96e-05,-14.299,5.5476e-05,4.2559
"639.3447 / 13.80  M-H-",5.0615e-05,-14.27,5.5476e-05,4.2559
"325.1739 / 6.83",5.0652e-05,-14.269,5.5476e-05,4.2559
"672.2691 / 18.79  M-H-",5.0705e-05,-14.268,5.5476e-05,4.2559
"396.1783 / 5.87",5.1552e-05,-14.244,5.5476e-05,4.2559
"393.2099 / 13.08  MNa-2H-",5.2364e-05,-14.221,5.5476e-05,4.2559
"475.2157 / 13.13  MNa-2H-",5.3152e-05,-14.2,5.5476e-05,4.2559
"585.8335 / 13.53  M2H2",5.3229e-05,-14.197,5.5476e-05,4.2559
"658.3555 / 19.48",5.7503e-05,-14.086,5.5476e-05,4.2559
"472.2881 / 1.93",5.8038e-05,-14.073,5.5476e-05,4.2559
"389.1843 / 10.33",5.8638e-05,-14.058,5.5476e-05,4.2559
"442.2260 / 4.21",5.8925e-05,-14.051,5.5476e-05,4.2559
"854.3902 / 15.20  M-H-",6.0729e-05,-14.007,5.5476e-05,4.2559
"578.7981 / 11.74  M2H2",6.1593e-05,-13.987,5.5476e-05,4.2559
"389.6920 / 6.89  M2H2",6.186e-05,-13.981,5.5476e-05,4.2559
"530.3188 / 14.01  MH",6.2928e-05,-13.956,5.5476e-05,4.2559
"487.2873 / 12.84  MH",6.4404e-05,-13.922,5.5476e-05,4.2559
"569.7558 / 19.86  M-2H2-",6.5595e-05,-13.896,5.5476e-05,4.2559
"441.2709 / 15.49",6.577e-05,-13.892,5.5476e-05,4.2559
"244.1739 / 6.89",6.6883e-05,-13.868,5.5476e-05,4.2559
"400.7156 / 9.35",6.6989e-05,-13.866,5.5476e-05,4.2559
"433.5526 / 16.71",6.7451e-05,-13.856,5.5476e-05,4.2559
"352.6958 / 6.58  M2H2",6.749e-05,-13.855,5.5476e-05,4.2559
"556.2607 / 15.11",6.8406e-05,-13.836,5.5476e-05,4.2559
"408.2108 / 9.88",6.9e-05,-13.823,5.5476e-05,4.2559
"491.7838 / 12.28  M2H2",7.0153e-05,-13.799,5.5476e-05,4.2559
"344.2183 / 11.11",7.0425e-05,-13.794,5.5476e-05,4.2559
"428.2503 / 8.08",7.0401e-05,-13.794,5.5476e-05,4.2559
"431.7194 / 10.34  M2H2",7.0593e-05,-13.79,5.5476e-05,4.2559
"495.2449 / 12.10",7.0806e-05,-13.786,5.5476e-05,4.2559
"428.1816 / 11.63",7.1094e-05,-13.78,5.5476e-05,4.2559
"464.2494 / 10.84",7.151e-05,-13.771,5.5476e-05,4.2559
"688.3331 / 13.58  M-H-",7.1846e-05,-13.765,5.5476e-05,4.2559
"362.2111 / 3.50",7.3958e-05,-13.723,5.5476e-05,4.2559
"692.4072 / 16.22  M-H-",7.5611e-05,-13.691,5.5476e-05,4.2559
"581.8142 / 19.54",7.5813e-05,-13.687,5.5476e-05,4.2559
"318.2026 / 6.69",7.598e-05,-13.684,5.5476e-05,4.2559
"386.7212 / 12.29  MHNH42",7.6216e-05,-13.68,5.5476e-05,4.2559
"527.7237 / 4.04",7.7783e-05,-13.65,5.5476e-05,4.2559
"449.7488 / 19.19",7.8241e-05,-13.642,5.5476e-05,4.2559
"542.7964 / 18.84",7.947e-05,-13.619,5.5476e-05,4.2559
"440.2980 / 15.59",7.9551e-05,-13.618,5.5476e-05,4.2559
"809.4409 / 19.07  M-H-",8.0288e-05,-13.604,5.5476e-05,4.2559
"323.1721 / 3.76  MNH4",8.0358e-05,-13.603,5.5476e-05,4.2559
"752.3938 / 19.86  MNa-2H-",8.0932e-05,-13.593,5.5476e-05,4.2559
"428.7079 / 15.05",8.098e-05,-13.592,5.5476e-05,4.2559
"448.7038 / 15.05",8.1145e-05,-13.589,5.5476e-05,4.2559
"322.1877 / 10.04",8.122e-05,-13.588,5.5476e-05,4.2559
"367.7266 / 14.59  M2H2",8.1228e-05,-13.588,5.5476e-05,4.2559
"501.2664 / 9.02",8.1631e-05,-13.581,5.5476e-05,4.2559
"600.3704 / 8.01",8.2178e-05,-13.571,5.5476e-05,4.2559
"527.2201 / 11.68",8.2638e-05,-13.563,5.5476e-05,4.2559
"896.4697 / 19.20  M-H-",8.3157e-05,-13.554,5.5476e-05,4.2559
"359.1338 / 3.72  MNa",8.3481e-05,-13.548,5.5476e-05,4.2559
"425.8972 / 14.01  M3H3",8.5129e-05,-13.52,5.5476e-05,4.2559
"436.2214 / 9.02  M2H2",8.6845e-05,-13.491,5.5476e-05,4.2559
"407.1917 / 2.29",8.819e-05,-13.469,5.5476e-05,4.2559
"416.2343 / 10.19",8.8367e-05,-13.466,5.5476e-05,4.2559
"510.2740 / 11.42  M2H2",8.8564e-05,-13.463,5.5476e-05,4.2559
"485.2395 / 15.33",8.9219e-05,-13.452,5.5476e-05,4.2559
"724.3259 / 18.94  M-2H2-",9.0284e-05,-13.435,5.5476e-05,4.2559
"487.2881 / 11.19",9.0596e-05,-13.43,5.5476e-05,4.2559
"550.2987 / 7.89",9.0662e-05,-13.429,5.5476e-05,4.2559
"588.3190 / 16.76  M2H2",9.0669e-05,-13.429,5.5476e-05,4.2559
"491.7716 / 12.23  M2H2",9.0878e-05,-13.426,5.5476e-05,4.2559
"789.3818 / 14.63  M-H-",9.0828e-05,-13.426,5.5476e-05,4.2559
"424.2201 / 9.60  M2H2",9.1367e-05,-13.418,5.5476e-05,4.2559
"451.2294 / 6.89",9.2022e-05,-13.408,5.5476e-05,4.2559
"358.7017 / 8.33",9.2251e-05,-13.404,5.5476e-05,4.2559
"345.2137 / 3.57",9.2318e-05,-13.403,5.5476e-05,4.2559
"469.1914 / 12.24  M2H2",9.2396e-05,-13.402,5.5476e-05,4.2559
"446.2611 / 8.34",9.3212e-05,-13.389,5.5476e-05,4.2559
"490.1937 / 10.46  M-H-",9.4027e-05,-13.377,5.5476e-05,4.2559
"502.3261 / 13.17",9.414e-05,-13.375,5.5476e-05,4.2559
"411.2234 / 17.89  M-H-",9.4133e-05,-13.375,5.5476e-05,4.2559
"490.2508 / 11.07",9.438e-05,-13.371,5.5476e-05,4.2559
"589.3189 / 12.20",9.4707e-05,-13.366,5.5476e-05,4.2559
"373.1723 / 9.41  M-H-",9.5833e-05,-13.349,5.5476e-05,4.2559
"520.2759 / 16.72",9.6149e-05,-13.344,5.5476e-05,4.2559
"533.2566 / 1.94",9.6169e-05,-13.344,5.5476e-05,4.2559
"402.1951 / 15.50",9.7177e-05,-13.329,5.5476e-05,4.2559
"515.2818 / 11.15",9.7731e-05,-13.321,5.5476e-05,4.2559
"541.3458 / 15.56",9.8555e-05,-13.309,5.5476e-05,4.2559
"417.2354 / 6.26",9.9163e-05,-13.3,5.5476e-05,4.2559
"460.2401 / 7.93",9.9409e-05,-13.296,5.5476e-05,4.2559
"469.2268 / 6.18",9.9458e-05,-13.296,5.5476e-05,4.2559
"201.1241 / 7.04",9.9551e-05,-13.294,5.5476e-05,4.2559
"716.7940 / 13.27",0.00010018,-13.285,5.5476e-05,4.2559
"480.2445 / 11.07",0.00010206,-13.258,5.5476e-05,4.2559
"434.1607 / 12.99  M-H-",0.0001022,-13.256,5.5476e-05,4.2559
"411.7209 / 14.70  M2Na2",0.00010226,-13.255,5.5476e-05,4.2559
"876.3739 / 15.20  MNa-2H-",0.00010246,-13.253,5.5476e-05,4.2559
"474.2458 / 8.12",0.00010384,-13.233,5.5476e-05,4.2559
"437.2083 / 10.13  M-2H2-",0.00010425,-13.228,5.5476e-05,4.2559
"692.3715 / 15.55  M3H3",0.00010435,-13.226,5.5476e-05,4.2559
"433.2291 / 5.27  MH",0.00010518,-13.215,5.5476e-05,4.2559
"444.2926 / 10.74",0.00010577,-13.207,5.5476e-05,4.2559
"332.2187 / 10.09",0.00010589,-13.205,5.5476e-05,4.2559
"354.7017 / 9.26  M2H2",0.00010602,-13.203,5.5476e-05,4.2559
"352.8620 / 13.29  M3H3",0.00010762,-13.182,5.5476e-05,4.2559
"427.2189 / 15.17  MH",0.00010824,-13.173,5.5476e-05,4.2559
"667.3409 / 17.21  MH",0.0001084,-13.171,5.5476e-05,4.2559
"290.1136 / 4.35",0.00010895,-13.164,5.5476e-05,4.2559
"358.1970 / 9.76",0.00010896,-13.164,5.5476e-05,4.2559
"475.2405 / 8.40  MCH3OHH",0.00010907,-13.163,5.5476e-05,4.2559
"489.2676 / 5.17  MH",0.00010964,-13.155,5.5476e-05,4.2559
"380.1820 / 9.50  MAcO-H-",0.00011041,-13.145,5.5476e-05,4.2559
"409.2076 / 16.57  M-H-",0.00011042,-13.145,5.5476e-05,4.2559
"549.3146 / 16.50",0.00011091,-13.138,5.5476e-05,4.2559
"352.1863 / 9.13",0.00011265,-13.116,5.5476e-05,4.2559
"979.5921 / 19.20  M-H-",0.00011347,-13.105,5.5476e-05,4.2559
"707.3366 / 10.13  MH",0.00011389,-13.1,5.5476e-05,4.2559
"480.7199 / 19.39  M-2H2-",0.00011533,-13.082,5.5476e-05,4.2559
"354.7007 / 11.45",0.0001162,-13.071,5.5476e-05,4.2559
"472.7789 / 13.07",0.00011621,-13.071,5.5476e-05,4.2559
"380.1917 / 7.58",0.00011757,-13.054,5.5476e-05,4.2559
"492.2920 / 16.23  MNH4",0.00011755,-13.054,5.5476e-05,4.2559
"690.3494 / 13.56  MH",0.00011807,-13.048,5.5476e-05,4.2559
"432.7469 / 17.85  M2",0.00011822,-13.046,5.5476e-05,4.2559
"533.2117 / 17.20  M-2H2-",0.0001183,-13.045,5.5476e-05,4.2559
"418.2251 / 11.01  M3H3",0.00011841,-13.044,5.5476e-05,4.2559
"479.2499 / 11.58  MNa",0.00012094,-13.013,5.5476e-05,4.2559
"424.7012 / 9.61",0.00012152,-13.007,5.5476e-05,4.2559
"580.2660 / 7.32  M2H2",0.00012201,-13.001,5.5476e-05,4.2559
"538.2630 / 14.11  M2H2",0.00012311,-12.988,5.5476e-05,4.2559
"517.2974 / 11.15",0.0001239,-12.979,5.5476e-05,4.2559
"466.7506 / 11.66  M2H2",0.00012498,-12.966,5.5476e-05,4.2559
"400.7356 / 13.16",0.00012543,-12.961,5.5476e-05,4.2559
"628.3664 / 16.56",0.00012546,-12.96,5.5476e-05,4.2559
"706.3265 / 12.70",0.00012596,-12.955,5.5476e-05,4.2559
"523.2700 / 14.08  M2H2",0.00012611,-12.953,5.5476e-05,4.2559
"416.2495 / 4.63",0.00012636,-12.95,5.5476e-05,4.2559
"529.3069 / 2.10",0.00012699,-12.943,5.5476e-05,4.2559
"506.2347 / 7.63  MNa-2H-",0.00012829,-12.928,5.5476e-05,4.2559
"484.2761 / 9.31",0.00012871,-12.924,5.5476e-05,4.2559
"732.4279 / 14.57",0.00013045,-12.904,5.5476e-05,4.2559
"322.1769 / 9.70",0.00013062,-12.902,5.5476e-05,4.2559
"173.1286 / 7.10",0.00013103,-12.898,5.5476e-05,4.2559
"473.2970 / 16.49",0.00013365,-12.869,5.5476e-05,4.2559
"629.3263 / 14.71",0.00013556,-12.849,5.5476e-05,4.2559
"342.2386 / 13.85",0.00013641,-12.84,5.5476e-05,4.2559
"686.3013 / 15.50",0.00013641,-12.84,5.5476e-05,4.2559
"417.2233 / 6.26",0.00013653,-12.839,5.5476e-05,4.2559
"515.2504 / 15.43",0.00013826,-12.82,5.5476e-05,4.2559
"376.2236 / 16.46",0.00013841,-12.819,5.5476e-05,4.2559
"497.2719 / 8.49  MNH4",0.00013856,-12.817,5.5476e-05,4.2559
"433.2074 / 16.66  2MH",0.00013882,-12.814,5.5476e-05,4.2559
"587.3397 / 17.76",0.00013989,-12.803,5.5476e-05,4.2559
"713.3455 / 9.84  M-H-",0.00014062,-12.796,5.5476e-05,4.2559
"519.7761 / 15.53",0.00014176,-12.784,5.5476e-05,4.2559
"373.2425 / 10.79",0.00014199,-12.782,5.5476e-05,4.2559
"702.2904 / 19.77",0.00014263,-12.775,5.5476e-05,4.2559
"380.1792 / 13.65  MNa-2H-",0.00014303,-12.771,5.5476e-05,4.2559
"704.3089 / 12.73  M-H-",0.00014338,-12.768,5.5476e-05,4.2559
"343.1977 / 3.54",0.00014368,-12.765,5.5476e-05,4.2559
"435.6989 / 21.11",0.00014418,-12.76,5.5476e-05,4.2559
"929.5114 / 15.17",0.00014413,-12.76,5.5476e-05,4.2559
"553.8054 / 19.63  M2H2",0.00014435,-12.758,5.5476e-05,4.2559
"586.3192 / 11.79",0.00014478,-12.754,5.5476e-05,4.2559
"478.2296 / 11.16  MCH3OHH",0.00014482,-12.753,5.5476e-05,4.2559
"470.7597 / 10.33",0.00014509,-12.751,5.5476e-05,4.2559
"389.2192 / 9.07",0.00014566,-12.745,5.5476e-05,4.2559
"438.7532 / 13.77  M2H2",0.00014715,-12.73,5.5476e-05,4.2559
"371.2303 / 9.71",0.00014756,-12.726,5.5476e-05,4.2559
"507.2540 / 12.53  M2H2",0.00014796,-12.722,5.5476e-05,4.2559
"379.7088 / 10.72",0.0001487,-12.715,5.5476e-05,4.2559
"467.2498 / 11.48",0.00015106,-12.693,5.5476e-05,4.2559
"577.7558 / 19.18  M2H2",0.00015155,-12.688,5.5476e-05,4.2559
"503.2818 / 9.03",0.00015171,-12.686,5.5476e-05,4.2559
"403.2558 / 10.33",0.00015196,-12.684,5.5476e-05,4.2559
"556.3216 / 16.92",0.00015256,-12.678,5.5476e-05,4.2559
"682.2886 / 7.68  M-",0.00015375,-12.667,5.5476e-05,4.2559
"544.2442 / 15.34",0.00015415,-12.663,5.5476e-05,4.2559
"618.3072 / 19.17  MNa-2H-",0.00015435,-12.661,5.5476e-05,4.2559
"476.7101 / 13.24",0.00015472,-12.658,5.5476e-05,4.2559
"655.3373 / 12.85  M2H2",0.00015472,-12.658,5.5476e-05,4.2559
"581.7897 / 18.88",0.00015567,-12.649,5.5476e-05,4.2559
"909.4773 / 18.52",0.00015599,-12.646,5.5476e-05,4.2559
"394.1994 / 11.43  M-H-",0.00015681,-12.639,5.5476e-05,4.2559
