"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"464.6809 / 14.46",13.141,0.0010957,2.9603,0.0033184,"Infected - Control"
"375.6898 / 9.55",13.139,0.0010965,2.96,0.0033199,"Infected - Control"
"457.1917 / 2.71",13.137,0.0010971,2.9598,0.0033208,"Infected - Control"
"186.0568 / 7.95",13.135,0.0010982,2.9593,0.0033234,"Control - Infected"
"434.9037 / 18.52  M3H3",13.131,0.0010994,2.9588,0.0033264,"Infected - Control"
"551.7705 / 14.31",13.127,0.0011014,2.9581,0.0033316,"Infected - Control"
"738.8479 / 13.31",13.126,0.0011018,2.9579,0.0033319,"Infected - Control"
"661.3564 / 16.98",13.121,0.0011038,2.9571,0.0033373,"Infected - Control"
"317.1248 / 4.63",13.119,0.0011044,2.9569,0.0033384,"Infected - Control"
"777.3080 / 10.96",13.118,0.0011049,2.9567,0.003339,"Infected - Control"
"413.9889 / 21.56",13.117,0.0011052,2.9566,0.003339,"Infected - Control"
"556.9612 / 1.06",13.114,0.0011067,2.956,0.0033428,"Infected - Control"
"599.2821 / 15.43",13.112,0.0011071,2.9558,0.0033432,"Infected - Control"
"387.2962 / 2.45",13.112,0.0011073,2.9557,0.0033432,"Infected - Control"
"741.3753 / 20.17",13.111,0.0011078,2.9555,0.0033439,"Infected - Control"
"382.1943 / 7.26",13.108,0.001109,2.9551,0.0033468,"Infected - Control"
"495.2038 / 8.39",13.106,0.0011097,2.9548,0.0033472,"Infected - Control"
"471.8860 / 14.04  M3H3",13.106,0.0011098,2.9548,0.0033472,"Infected - Control"
"344.2182 / 10.46",13.105,0.0011101,2.9546,0.0033472,"Infected - Control"
"455.2131 / 5.15  MNa",13.105,0.0011102,2.9546,0.0033472,"Infected - Control"
"623.2672 / 10.60",13.103,0.0011109,2.9543,0.0033484,"Infected - Control"
"575.3400 / 15.31",13.096,0.0011139,2.9532,0.0033561,"Infected - Control"
"660.3547 / 10.67",13.096,0.001114,2.9531,0.0033561,"Infected - Control"
"387.0256 / 8.20",13.094,0.0011145,2.9529,0.0033568,"Infected - Control"
"676.3687 / 18.49",13.092,0.0011153,2.9526,0.0033586,"Infected - Control"
"416.2222 / 9.39",13.088,0.0011172,2.9519,0.0033634,"Infected - Control"
"181.0731 / 12.44",13.087,0.0011176,2.9517,0.003364,"Control - Infected"
"513.2575 / 11.05",13.082,0.0011196,2.9509,0.003368,"Infected - Control"
"965.4461 / 12.47  2MFA-H-",13.082,0.0011196,2.9509,0.003368,"Infected - Control"
"337.1610 / 6.89",13.081,0.0011198,2.9509,0.003368,"Infected - Control"
"587.2858 / 16.02  M2H2",13.08,0.0011205,2.9506,0.0033693,"Infected - Control"
"536.9773 / 13.17",13.076,0.001122,2.95,0.0033733,"Infected - Control"
"700.3857 / 17.29",13.075,0.0011226,2.9498,0.0033742,"Infected - Control"
"581.2742 / 7.73",13.073,0.0011234,2.9495,0.0033757,"Infected - Control"
"603.3317 / 3.09",13.072,0.0011237,2.9494,0.0033758,"Infected - Control"
"588.3338 / 3.60",13.071,0.0011242,2.9492,0.0033761,"Infected - Control"
"471.2198 / 12.62  MNa",13.07,0.0011245,2.9491,0.0033761,"Infected - Control"
"962.4684 / 19.26  M-2H2-",13.07,0.0011246,2.949,0.0033761,"Infected - Control"
"531.7399 / 14.10  M2H2",13.069,0.0011248,2.9489,0.0033761,"Infected - Control"
"517.2313 / 14.35",13.068,0.0011251,2.9488,0.0033762,"Infected - Control"
"654.2617 / 10.33",13.066,0.0011259,2.9485,0.0033778,"Infected - Control"
"358.1970 / 5.78",13.066,0.0011263,2.9483,0.0033781,"Infected - Control"
"481.2622 / 13.87",13.063,0.0011275,2.9479,0.0033803,"Infected - Control"
"355.1939 / 1.12",13.063,0.0011276,2.9479,0.0033803,"Infected - Control"
"505.2290 / 18.18",13.06,0.0011288,2.9474,0.0033832,"Infected - Control"
"355.7016 / 3.57",13.057,0.0011298,2.947,0.0033851,"Infected - Control"
"219.8548 / 1.79",13.056,0.0011303,2.9468,0.0033851,"Infected - Control"
"567.2764 / 12.86",13.056,0.0011304,2.9468,0.0033851,"Infected - Control"
"750.3912 / 19.37",13.055,0.0011305,2.9467,0.0033851,"Infected - Control"
"210.0525 / 7.92  MNa",13.053,0.0011316,2.9463,0.0033875,"Control - Infected"
"702.3676 / 6.61",13.051,0.0011325,2.9459,0.0033897,"Infected - Control"
"554.2601 / 9.42",13.047,0.001134,2.9454,0.0033929,"Infected - Control"
"629.3240 / 12.16",13.046,0.0011344,2.9452,0.0033929,"Infected - Control"
"538.3063 / 2.12  MH",13.046,0.0011344,2.9452,0.0033929,"Infected - Control"
"777.3632 / 18.79",13.045,0.0011349,2.945,0.0033931,"Infected - Control"
"583.2876 / 7.69  MH",13.044,0.0011352,2.9449,0.0033931,"Infected - Control"
"492.2446 / 14.41",13.044,0.0011353,2.9449,0.0033931,"Infected - Control"
"493.2378 / 6.34",13.04,0.001137,2.9442,0.0033975,"Infected - Control"
"444.2444 / 6.59  M-H-",13.038,0.0011378,2.9439,0.0033988,"Infected - Control"
"500.3206 / 8.16",13.037,0.0011381,2.9438,0.0033988,"Infected - Control"
"687.1589 / 22.54",13.037,0.0011383,2.9438,0.0033988,"Infected - Control"
"335.1685 / 11.41",13.031,0.0011406,2.9429,0.0034049,"Infected - Control"
"270.1931 / 2.47",13.03,0.0011412,2.9426,0.0034059,"Infected - Control"
"514.2249 / 7.83  MH",13.029,0.0011415,2.9425,0.0034062,"Infected - Control"
"401.2391 / 10.38",13.022,0.0011444,2.9414,0.003414,"Infected - Control"
"628.2959 / 11.33",13.018,0.0011459,2.9408,0.0034168,"Infected - Control"
"558.3402 / 8.59",13.018,0.0011461,2.9408,0.0034168,"Infected - Control"
"291.9884 / 3.78",13.018,0.0011462,2.9408,0.0034168,"Infected - Control"
"478.2470 / 11.84  M2H2",13.015,0.0011474,2.9403,0.0034197,"Infected - Control"
"704.3823 / 17.01",13.007,0.0011507,2.939,0.0034284,"Infected - Control"
"400.5612 / 9.49",13.007,0.0011508,2.939,0.0034284,"Infected - Control"
"461.2383 / 12.02",13.006,0.0011513,2.9388,0.0034288,"Infected - Control"
"447.2210 / 20.11  MNa-2H-",13.004,0.0011522,2.9385,0.0034303,"Infected - Control"
"314.1719 / 3.76  MH",13.003,0.0011523,2.9384,0.0034303,"Infected - Control"
"343.6915 / 7.31  M2H2",12.999,0.0011543,2.9377,0.0034344,"Infected - Control"
"533.2387 / 6.78",12.998,0.0011546,2.9376,0.0034344,"Infected - Control"
"912.4556 / 16.97",12.998,0.0011546,2.9376,0.0034344,"Infected - Control"
"764.2829 / 14.25",12.998,0.0011547,2.9375,0.0034344,"Infected - Control"
"555.2759 / 16.81",12.995,0.0011558,2.9371,0.0034367,"Infected - Control"
"603.2816 / 17.99  M2H2",12.992,0.0011573,2.9366,0.0034403,"Infected - Control"
"563.2803 / 12.26",12.99,0.0011579,2.9363,0.0034413,"Infected - Control"
"620.2967 / 20.60  MH",12.989,0.0011584,2.9361,0.0034421,"Infected - Control"
"227.1376 / 5.94",12.98,0.0011621,2.9348,0.0034522,"Infected - Control"
"615.2607 / 10.96  M-H-",12.979,0.0011625,2.9346,0.0034528,"Infected - Control"
"717.2480 / 10.95",12.97,0.0011663,2.9332,0.0034627,"Infected - Control"
"361.9962 / 21.24",12.97,0.0011664,2.9331,0.0034627,"Infected - Control"
"329.6877 / 9.52",12.967,0.0011677,2.9327,0.0034656,"Infected - Control"
"652.2452 / 10.33",12.967,0.001168,2.9326,0.0034656,"Infected - Control"
"461.1661 / 14.81",12.966,0.0011682,2.9325,0.0034656,"Infected - Control"
"637.2431 / 10.96  MNa-2H-",12.964,0.0011691,2.9321,0.003467,"Infected - Control"
"258.1669 / 7.99",12.964,0.0011692,2.9321,0.003467,"Control - Infected"
"832.9290 / 19.17",12.962,0.0011701,2.9318,0.0034688,"Infected - Control"
"527.2134 / 14.06  M-H-",12.956,0.0011724,2.9309,0.0034747,"Infected - Control"
"573.7835 / 14.47",12.951,0.0011746,2.9301,0.0034806,"Infected - Control"
"634.3392 / 6.01",12.95,0.0011753,2.9299,0.0034817,"Infected - Control"
"351.7114 / 4.15  MH",12.949,0.0011756,2.9297,0.003482,"Infected - Control"
"353.1624 / 5.75",12.944,0.0011778,2.9289,0.0034875,"Infected - Control"
"633.2900 / 14.09",12.942,0.0011787,2.9286,0.0034893,"Infected - Control"
"696.2673 / 18.76  MNa",12.939,0.0011801,2.9281,0.0034927,"Infected - Control"
"559.2243 / 15.67",12.934,0.0011821,2.9274,0.0034967,"Infected - Control"
"718.0483 / 13.40  M3H3",12.934,0.0011821,2.9273,0.0034967,"Infected - Control"
"608.3082 / 19.68",12.934,0.0011823,2.9273,0.0034967,"Infected - Control"
"593.2956 / 18.36  M2H2",12.924,0.0011866,2.9257,0.003508,"Infected - Control"
"530.3149 / 19.72",12.924,0.0011867,2.9257,0.003508,"Infected - Control"
"443.6932 / 5.65",12.923,0.0011869,2.9256,0.003508,"Infected - Control"
"441.1847 / 5.34",12.922,0.0011872,2.9255,0.003508,"Infected - Control"
"465.7375 / 5.37",12.921,0.0011878,2.9252,0.0035087,"Infected - Control"
"586.2891 / 17.78",12.92,0.0011884,2.925,0.0035087,"Infected - Control"
"453.7254 / 11.58",12.92,0.0011884,2.925,0.0035087,"Infected - Control"
"336.5484 / 18.94  M3H3",12.919,0.0011886,2.925,0.0035087,"Infected - Control"
"388.7304 / 14.53  M2",12.919,0.0011888,2.9249,0.0035087,"Infected - Control"
"546.8065 / 3.81",12.915,0.0011903,2.9244,0.0035122,"Infected - Control"
"623.2819 / 15.83  MCl-",12.914,0.0011907,2.9242,0.0035126,"Infected - Control"
"424.6924 / 16.85",12.913,0.0011911,2.924,0.0035132,"Infected - Control"
"926.4223 / 18.11",12.912,0.0011918,2.9238,0.0035144,"Infected - Control"
"466.2104 / 19.57",12.91,0.0011925,2.9235,0.0035157,"Infected - Control"
"502.2336 / 19.04",12.908,0.0011937,2.9231,0.0035182,"Infected - Control"
"582.2857 / 16.03",12.906,0.0011942,2.9229,0.0035186,"Infected - Control"
"383.3033 / 24.04  MCH3OHH",12.906,0.0011944,2.9229,0.0035186,"Infected - Control"
"398.9770 / 1.10",12.904,0.0011951,2.9226,0.0035201,"Infected - Control"
"426.2096 / 6.68",12.901,0.0011967,2.922,0.0035234,"Infected - Control"
"480.2471 / 5.59",12.9,0.0011968,2.922,0.0035234,"Infected - Control"
"590.9945 / 23.81",12.897,0.0011982,2.9215,0.003526,"Control - Infected"
"301.1878 / 8.23  M2H2",12.897,0.0011983,2.9215,0.003526,"Infected - Control"
"489.2460 / 7.31",12.893,0.0011999,2.9209,0.0035301,"Infected - Control"
"687.3774 / 9.41",12.889,0.0012017,2.9202,0.0035346,"Infected - Control"
"493.2282 / 16.12",12.886,0.0012031,2.9197,0.0035379,"Infected - Control"
"550.2829 / 14.66  MNa-2H-",12.884,0.0012042,2.9193,0.0035402,"Infected - Control"
"554.2245 / 16.90  M-H-",12.882,0.0012049,2.9191,0.0035407,"Infected - Control"
"709.3521 / 18.00  MNa",12.882,0.0012051,2.919,0.0035407,"Infected - Control"
"459.7241 / 11.79",12.882,0.0012052,2.9189,0.0035407,"Infected - Control"
"453.1977 / 5.17  MAcO-H-",12.881,0.0012055,2.9188,0.0035407,"Infected - Control"
"604.2365 / 11.53",12.88,0.0012059,2.9187,0.0035413,"Infected - Control"
"451.1820 / 8.87",12.878,0.0012066,2.9184,0.0035424,"Infected - Control"
"223.1083 / 3.05",12.876,0.0012076,2.9181,0.0035445,"Infected - Control"
"592.3060 / 13.43",12.873,0.0012089,2.9176,0.0035474,"Infected - Control"
"447.2589 / 17.64",12.867,0.0012117,2.9166,0.0035548,"Infected - Control"
"341.2260 / 2.45  M2H2",12.865,0.0012125,2.9163,0.0035561,"Infected - Control"
"781.8342 / 16.72",12.865,0.0012126,2.9163,0.0035561,"Infected - Control"
"357.6762 / 5.81",12.861,0.0012142,2.9157,0.0035598,"Infected - Control"
"428.2370 / 16.01",12.86,0.0012147,2.9155,0.0035605,"Infected - Control"
"344.2171 / 8.05",12.859,0.0012152,2.9153,0.0035609,"Infected - Control"
"536.2384 / 9.47",12.859,0.0012154,2.9153,0.0035609,"Infected - Control"
"463.3005 / 24.04",12.857,0.0012163,2.9149,0.0035621,"Infected - Control"
"509.3110 / 18.44  M3H3",12.857,0.0012164,2.9149,0.0035621,"Infected - Control"
"604.3288 / 19.60",12.854,0.0012175,2.9145,0.0035639,"Infected - Control"
"896.4389 / 20.53",12.854,0.0012175,2.9145,0.0035639,"Infected - Control"
"232.1081 / 7.96  MNH4",12.853,0.0012179,2.9144,0.0035642,"Infected - Control"
"396.2250 / 4.17",12.852,0.0012183,2.9142,0.0035645,"Infected - Control"
"525.2893 / 15.99",12.851,0.0012187,2.9141,0.0035648,"Infected - Control"
"371.2292 / 7.83",12.85,0.0012193,2.9139,0.0035657,"Infected - Control"
"650.3558 / 16.63",12.849,0.0012196,2.9138,0.003566,"Infected - Control"
"580.7553 / 16.20",12.848,0.0012203,2.9135,0.0035664,"Infected - Control"
"378.1695 / 6.31",12.848,0.0012203,2.9135,0.0035664,"Infected - Control"
"670.3053 / 9.25",12.839,0.0012242,2.9122,0.0035768,"Infected - Control"
"499.1678 / 12.58",12.838,0.0012249,2.9119,0.0035776,"Infected - Control"
"237.0814 / 7.62",12.837,0.001225,2.9119,0.0035776,"Control - Infected"
"359.2114 / 2.60",12.835,0.001226,2.9115,0.0035796,"Infected - Control"
"683.3074 / 17.24",12.835,0.0012263,2.9114,0.0035796,"Infected - Control"
"738.9445 / 1.29",12.833,0.0012272,2.9111,0.0035814,"Control - Infected"
"558.3242 / 12.39",12.831,0.001228,2.9108,0.003583,"Infected - Control"
"608.3511 / 15.02  M3H3",12.828,0.0012293,2.9104,0.0035859,"Infected - Control"
"749.3993 / 15.30",12.825,0.0012305,2.9099,0.0035882,"Infected - Control"
"516.3020 / 13.04",12.825,0.0012307,2.9099,0.0035882,"Infected - Control"
"779.3239 / 10.93",12.824,0.0012309,2.9098,0.0035882,"Infected - Control"
"752.3483 / 13.53",12.824,0.0012312,2.9097,0.0035882,"Infected - Control"
"455.7022 / 18.12",12.822,0.0012319,2.9094,0.0035895,"Infected - Control"
"681.3443 / 17.69",12.818,0.0012337,2.9088,0.003594,"Infected - Control"
"400.2198 / 5.47",12.815,0.0012353,2.9082,0.0035978,"Infected - Control"
"436.2195 / 13.95",12.811,0.001237,2.9076,0.0036019,"Infected - Control"
"779.3210 / 12.79",12.81,0.0012376,2.9074,0.0036027,"Infected - Control"
"585.2311 / 17.55",12.809,0.0012379,2.9073,0.0036029,"Infected - Control"
"229.1549 / 9.83",12.808,0.0012385,2.9071,0.0036039,"Infected - Control"
"308.6881 / 9.44",12.805,0.0012395,2.9067,0.003606,"Infected - Control"
"517.2404 / 12.13",12.804,0.0012403,2.9065,0.003607,"Infected - Control"
"652.2834 / 9.66",12.803,0.0012404,2.9064,0.003607,"Infected - Control"
