"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"132.9589 / 3.68",0.066419,0.70581,0.69709,0.69443,0.69778
"132.9590 / 12.68",0.84032,0.70164,0.71717,0.71526,0.715
"132.9591 / 5.20",0.30242,0.37685,0.38614,0.39446,0.39446
"133.0315 / 1.77  MH",0.56435,1.6694,1.6628,1.665,1.6644
"133.0318 / 1.04",0.26655,0.77156,0.76432,0.76212,0.762
"133.9596 / 8.44",0.20436,0.49341,0.51179,0.50983,0.51002
"133.9608 / 9.32",0.21632,0.27778,0.28316,0.28834,0.28826
"134.0602 / 6.89",0.15856,0.39089,0.38471,0.39576,0.3965
"134.9298 / 1.80",0.086479,0.33907,0.33716,0.33791,0.3378
"135.0028 / 1.76",0.13202,0.97934,0.96467,0.96114,0.96091
"135.0303 / 3.15  MH",0.21328,0.49674,0.491,0.50222,0.50221
"135.0806 / 17.12",0.0012244,0.28788,0.30177,0.30919,0.30953
"136.0146 / 4.13  MH",0.42856,0.43114,0.42853,0.42935,0.4294
"136.0394 / 5.38",0.51636,0.40813,0.60052,0.61741,0.61867
"136.0399 / 7.76  MH",0.94772,1.6529,1.6424,1.6372,1.6366
"136.0480 / 1.45  MNa",0.60332,0.97669,0.96265,0.95908,0.95868
"136.0605 / 3.72",0.23706,1.3364,1.3154,1.3107,1.3104
"136.0623 / 5.91",0.33387,1.4818,1.4651,1.4642,1.4641
"136.0736 / 8.30  MNa",0.41512,0.52902,0.57181,0.56991,0.57693
"136.0754 / 6.11",0.021789,1.3497,1.3308,1.3523,1.3525
"136.0757 / 10.59",0.25351,1.228,1.2456,1.2417,1.2415
"136.0759 / 7.69",0.07885,1.1907,1.2807,1.2863,1.2864
"136.0762 / 2.10  MNH4",0.21465,0.71104,0.69974,0.69839,0.69821
"136.0762 / 3.04",0.099223,0.4909,0.49731,0.49597,0.49624
"136.0762 / 4.48",0.14396,1.1246,1.1082,1.1106,1.1109
"137.0458 / 4.97",0.83778,0.66495,0.6547,0.66504,0.6723
"137.0462 / 5.97",0.40253,0.77627,0.83122,0.82831,0.82799
"137.0464 / 4.45",0.38683,1.0344,1.018,1.0143,1.0138
"137.0465 / 3.88  MH",0.39507,0.40374,0.40112,0.40007,0.39992
"137.0596 / 6.92",0.89734,1.7746,1.7464,1.7438,1.7435
"137.0599 / 9.88",0.096598,1.0746,1.0635,1.0607,1.0603
"137.0602 / 4.83",0.2207,1.3853,1.3709,1.3721,1.3716
"137.0792 / 2.16",0.2554,0.7886,0.77606,0.77456,0.77437
"138.0480 / 3.92",0.44584,0.43572,0.43291,0.43181,0.43165
"138.0549 / 9.31",0.13338,0.16804,0.38088,0.4903,0.49054
"138.0551 / 1.80",0.11502,0.47845,0.47114,0.46939,0.46922
"138.0553 / 10.70",0.57532,0.97857,1.0163,1.0213,1.021
"138.0660 / 2.88  MNH4",0.03245,1.1179,1.1011,1.1077,1.1092
"138.0664 / 12.44",1.3242,1.9808,2.0142,2.0096,2.0102
"138.0666 / 17.46  M",1.4375,2.1432,2.1297,2.1217,2.1211
"139.0019 / 2.02",0.47969,0.92943,0.92018,0.92193,0.92355
"139.0389 / 13.51",0.34763,0.37101,0.36525,0.38186,0.38443
"139.0391 / 10.09",0.9727,1.1552,1.1428,1.1392,1.139
"139.0498 / 4.10",0.25701,0.60656,0.6052,0.60307,0.60282
"139.0501 / 5.59",0.51062,1.3534,1.3341,1.3291,1.3287
"139.0723 / 17.68",0.10412,0.08284,0.082129,0.081824,0.081894
"139.0751 / 17.02  MH",0.62247,0.77676,0.77733,0.77865,0.77932
"139.1125 / 22.62",0.081532,0.066086,0.065122,0.065156,0.066092
"140.0165 / 5.43",0.90129,0.71574,0.70436,0.74304,0.74605
"140.0694 / 1.53",0.38249,0.7543,0.74476,0.74238,0.74207
"140.0707 / 6.96  MH",0.61468,1.1174,1.107,1.1075,1.1072
"141.0185 / 1.65",0.89173,0.86543,0.87691,0.88505,0.88474
"141.0367 / 1.04",0.14733,0.56694,0.55933,0.5576,0.55764
"141.0404 / 2.87",0.24574,0.47624,0.46913,0.46737,0.46722
"141.0659 / 1.51",0.44402,1.1779,1.1596,1.1558,1.1553
"142.0612 / 3.28",0.89651,1.8133,1.7982,1.7993,1.7986
"142.1224 / 1.87",0.62008,0.53238,0.55821,0.57344,0.57326
"142.1226 / 3.49",0.40179,0.58347,0.67456,0.68755,0.68726
"143.0156 / 2.71",0.071085,0.057307,0.060937,0.070324,0.070338
"143.0158 / 15.99",0.28211,0.43343,0.44604,0.44488,0.45425
"143.0181 / 15.24",0.12756,0.10394,0.32194,0.4159,0.42623
"143.0183 / 6.99",1.0342,1.0822,1.1012,1.098,1.0978
"143.0186 / 19.53",0.054367,0.093392,0.1558,0.17824,0.17921
"143.0187 / 8.20  MH",0.097986,0.91083,0.90664,0.91131,0.91118
"143.0187 / 9.05",0.19747,0.22721,0.75031,0.75317,0.75316
"143.0189 / 0.31  MH",0.10483,0.34835,0.3448,0.34405,0.34405
"143.0189 / 10.38",0.49745,0.67153,0.67759,0.6942,0.69686
"143.0189 / 11.93",0.63279,0.70106,0.6906,0.70851,0.70835
"143.0189 / 3.43",0.48041,0.46103,0.51107,0.51486,0.51873
"143.0190 / 4.09",0.40616,0.56407,0.58041,0.59378,0.59626
"143.0190 / 5.39",0.15245,0.59275,0.68721,0.70876,0.71042
"143.0191 / 18.52",0.020969,0.21261,0.58575,0.60759,0.60749
"143.0191 / 29.06",0.2137,0.17469,0.21327,0.21575,0.22307
"143.0191 / 31.57",0.13394,0.10598,0.11144,0.12893,0.14425
"143.0191 / 6.16",0.84445,1.2374,1.238,1.2536,1.2544
"143.0192 / 12.62",0.24036,0.82029,0.81414,0.81393,0.81358
"143.0192 / 14.68",0.21942,0.24512,0.35088,0.35013,0.35025
"143.0192 / 16.91",0.21963,0.41296,0.54303,0.65766,0.65929
"143.0193 / 4.62",0.24949,0.38786,0.40409,0.42413,0.43243
"143.0194 / 10.98",0.75349,0.61224,0.60432,0.60203,0.60261
"143.0195 / 1.10  MH",0.16405,0.56318,0.55827,0.5566,0.55661
"143.0195 / 13.69",0.34823,0.51734,0.78073,0.7951,0.79834
"143.0722 / 4.22",0.2862,0.88326,0.86937,0.8685,0.86819
"143.1182 / 10.44  MNH4",0.38737,1.9068,1.8782,1.8721,1.8719
"143.1184 / 2.28  MNH4",2.0427,1.6118,1.5863,1.5803,1.5796
"144.0210 / 1.08",0.19917,0.61976,0.6138,0.61184,0.61182
"144.0622 / 2.39",0.095341,0.90111,0.89759,0.89694,0.89776
"144.0653 / 6.99  MNH4",0.68468,2.1653,2.1323,2.1261,2.1252
"144.0807 / 4.25",0.26907,0.84667,0.83332,0.83241,0.83212
"144.0807 / 7.95",0.57784,1.3658,1.3441,1.339,1.3385
"144.1020 / 3.84",1.0259,2.2749,2.241,2.234,2.2335
"144.1021 / 1.61  MH",0.28753,0.53571,0.5365,0.53508,0.53492
"145.0051 / 10.91",0.31857,0.69265,0.70749,0.70767,0.70826
"145.0059 / 9.17",0.51486,0.44951,0.4454,0.4473,0.45191
"145.0061 / 8.66",0.37882,0.57445,0.56777,0.56782,0.56829
"145.0073 / 7.41",0.50116,0.39858,0.43585,0.43765,0.43753
"145.0080 / 3.63",0.24496,1.1501,1.199,1.2122,1.2124
"145.0081 / 2.60",0.014265,0.045544,0.046693,0.055773,0.055756
"145.0081 / 28.61",0.017011,0.017645,0.022925,0.022839,0.022862
