"","d.value","stdev","rawp","q.value"
"661.3266 / 13.83  MNa-2H-",4.4923,1.3364,2.8958e-05,4.415e-05
"652.2942 / 1.97",4.4922,1.5202,2.8958e-05,4.415e-05
"594.6478 / 18.98  M3H3",4.4921,1.4868,2.8958e-05,4.415e-05
"558.2584 / 14.82  M-H-",4.492,1.6103,2.8958e-05,4.415e-05
"593.2903 / 19.42  MNa-2H-",4.4917,1.3384,2.8958e-05,4.415e-05
"591.2238 / 2.54",4.4914,1.6462,2.8958e-05,4.415e-05
"424.1713 / 6.79  MH",4.491,1.5798,2.8958e-05,4.415e-05
"968.3731 / 18.12",4.4909,1.4008,2.8958e-05,4.415e-05
"230.0137 / 7.39  M-H-",4.4907,2.4594,2.8958e-05,4.415e-05
"572.2931 / 8.48",4.4904,1.4368,2.8958e-05,4.415e-05
"397.2194 / 7.31",4.4903,1.5465,2.8958e-05,4.415e-05
"378.2259 / 11.73  M2H2",4.4902,1.803,2.8958e-05,4.415e-05
"576.2060 / 16.90  MNa-2H-",4.4892,1.2449,2.8958e-05,4.415e-05
"509.1875 / 7.80",4.4889,1.7249,2.8958e-05,4.415e-05
"479.7838 / 10.83  M2H2",4.4885,1.6421,2.8958e-05,4.415e-05
"578.2819 / 14.16",4.4882,1.3999,2.8958e-05,4.415e-05
"600.2243 / 15.11",4.488,1.3908,2.8958e-05,4.415e-05
"732.3934 / 18.37",4.488,1.7663,2.8958e-05,4.415e-05
"696.3575 / 14.71  M-H-",4.4872,1.5034,2.8958e-05,4.415e-05
"888.3795 / 11.29",4.4867,1.7159,2.8958e-05,4.415e-05
"709.3225 / 19.57  M2H2",4.4861,1.5094,2.8958e-05,4.415e-05
"341.1779 / 14.82  MH",4.4858,1.3684,2.8958e-05,4.415e-05
"205.9856 / 1.79",4.4844,0.42451,2.8958e-05,4.415e-05
"725.3296 / 18.98",4.484,1.5072,2.8958e-05,4.415e-05
"694.2509 / 18.75  MNa-2H-",4.4836,1.5972,2.8958e-05,4.415e-05
"402.1259 / 4.91  MNa-2H-",4.4834,1.4833,2.8958e-05,4.415e-05
"391.1839 / 3.56",4.4833,1.6188,2.8958e-05,4.415e-05
"575.2515 / 15.59  MHK2",4.4833,1.4123,2.8958e-05,4.415e-05
"588.7165 / 19.67",4.4832,1.419,2.8958e-05,4.415e-05
"259.1293 / 2.12",4.4825,1.8155,2.8958e-05,4.415e-05
"747.3267 / 17.23",4.4823,1.4836,2.8958e-05,4.415e-05
"691.2580 / 18.67",4.4818,1.435,2.8958e-05,4.415e-05
"565.7956 / 10.35",4.4811,1.5212,2.8958e-05,4.415e-05
"462.7004 / 14.98",4.4809,1.4129,2.8958e-05,4.415e-05
"753.3301 / 18.69",4.48,1.1653,2.8958e-05,4.415e-05
"435.2228 / 14.59",4.4797,1.4995,2.8958e-05,4.415e-05
"606.3507 / 19.82  MH",4.4796,1.596,2.8958e-05,4.415e-05
"399.1939 / 5.46",4.479,1.5339,2.8958e-05,4.415e-05
"622.3083 / 18.90  M3Na3",4.4783,1.5541,2.8958e-05,4.415e-05
"571.3087 / 7.57",4.4775,1.5171,2.8958e-05,4.415e-05
"612.2776 / 3.47",4.477,1.3656,2.8958e-05,4.415e-05
"772.3623 / 8.10",4.4768,1.6011,2.8958e-05,4.415e-05
"541.3098 / 11.77  MNH4",4.4756,1.7279,2.8958e-05,4.415e-05
"625.7910 / 17.89",4.4735,1.5533,2.8958e-05,4.415e-05
"755.4052 / 12.11  MH",4.4733,1.5479,2.8958e-05,4.415e-05
"177.0064 / 1.06",4.4733,0.6304,2.8958e-05,4.415e-05
"458.2259 / 4.06",4.4733,1.4879,2.8958e-05,4.415e-05
"734.4084 / 18.36  MH",4.4731,1.6637,2.8958e-05,4.415e-05
"450.7153 / 8.50  MHK2",4.4729,1.5091,2.8958e-05,4.415e-05
"497.7548 / 10.33  M2H2",4.4724,1.3811,2.8958e-05,4.415e-05
"857.9493 / 12.85",4.4721,1.4607,2.8958e-05,4.415e-05
"673.3413 / 13.82",4.4711,1.4472,2.8958e-05,4.415e-05
"453.2925 / 21.14",4.4711,1.2726,2.8958e-05,4.415e-05
"654.3567 / 15.01",4.4705,1.4613,2.8958e-05,4.415e-05
"376.1726 / 2.73  MCH3OHH",4.4701,1.4077,2.8958e-05,4.415e-05
"390.2022 / 13.08  M-H-",4.4689,1.7013,2.8958e-05,4.415e-05
"590.2967 / 2.51",4.4688,1.5661,2.8958e-05,4.415e-05
"389.2404 / 10.45",4.4682,1.5756,2.8958e-05,4.415e-05
"575.3049 / 8.92  M-H-",4.4673,1.4575,2.9741e-05,4.4636e-05
"461.1985 / 16.60  M-2H2-",4.4669,1.4882,2.9741e-05,4.4636e-05
"468.3176 / 5.48",4.4668,1.4135,2.9741e-05,4.4636e-05
"615.3701 / 19.15  M-H-",4.4661,1.267,2.9741e-05,4.4636e-05
"412.1907 / 10.58",4.4661,1.4211,2.9741e-05,4.4636e-05
"581.2864 / 19.10  M-2H2-",4.4651,1.5328,2.9741e-05,4.4636e-05
"643.3585 / 13.11",4.465,1.512,2.9741e-05,4.4636e-05
"336.1549 / 4.17",4.4647,1.4827,2.9741e-05,4.4636e-05
"938.4773 / 18.85  M-2H2-",4.4647,1.3549,2.9741e-05,4.4636e-05
"506.5114 / 18.44  M4H4",4.4646,1.4666,2.9741e-05,4.4636e-05
"376.2108 / 13.11",4.4641,1.4298,2.9741e-05,4.4636e-05
"459.2919 / 12.43  MNH4",4.464,1.5359,2.9741e-05,4.4636e-05
"754.3459 / 19.21",4.4632,1.539,2.9741e-05,4.4636e-05
"719.3351 / 15.11",4.4624,1.3837,2.9741e-05,4.4636e-05
"444.2634 / 10.83",4.462,1.5579,2.9741e-05,4.4636e-05
"555.7707 / 18.79",4.462,1.4384,2.9741e-05,4.4636e-05
"589.2976 / 12.96",4.4612,1.5246,2.9741e-05,4.4636e-05
"469.1938 / 2.69",4.4611,1.5138,2.9741e-05,4.4636e-05
"401.2868 / 15.20",4.4606,1.4719,2.9741e-05,4.4636e-05
"364.1865 / 7.11",4.4603,1.4249,2.9741e-05,4.4636e-05
"367.7075 / 7.26  M4H4",4.46,1.5655,2.9741e-05,4.4636e-05
"671.3587 / 19.20",4.4594,1.571,2.9741e-05,4.4636e-05
"496.2867 / 14.34  M-H-",4.4583,1.4157,2.9741e-05,4.4636e-05
"615.9465 / 19.08  M3H3",4.458,1.3908,2.9741e-05,4.4636e-05
"455.2498 / 18.03",4.4567,1.4052,2.9741e-05,4.4636e-05
"603.3123 / 15.01",4.456,1.2979,2.9741e-05,4.4636e-05
"340.2246 / 13.15",4.4552,1.5808,2.9741e-05,4.4636e-05
"583.3586 / 9.96",4.4548,1.6522,2.9741e-05,4.4636e-05
"456.2799 / 18.33",4.4547,1.5069,2.9741e-05,4.4636e-05
"454.2662 / 15.89",4.4545,1.4472,2.9741e-05,4.4636e-05
"593.8113 / 16.82  M2H2",4.4543,1.5166,2.9741e-05,4.4636e-05
"524.2059 / 19.39",4.4543,1.5215,2.9741e-05,4.4636e-05
"887.7566 / 19.73",4.4542,1.345,2.9741e-05,4.4636e-05
"755.3473 / 18.66",4.4541,1.3271,2.9741e-05,4.4636e-05
"456.2529 / 3.24  M2H2",4.4538,1.6259,2.9741e-05,4.4636e-05
"409.1202 / 9.06  M-H-",4.4535,1.5078,2.9741e-05,4.4636e-05
"614.3056 / 11.37",4.4529,1.3116,2.9741e-05,4.4636e-05
"644.3271 / 2.57",4.4525,1.4472,2.9741e-05,4.4636e-05
"434.2434 / 9.10",4.4524,1.4255,2.9741e-05,4.4636e-05
"729.3945 / 18.57",4.4517,1.3004,3.0524e-05,4.5776e-05
"401.7394 / 17.16",4.4512,1.4401,3.0524e-05,4.5776e-05
"545.2427 / 19.25",4.4504,1.5028,3.1306e-05,4.6666e-05
"298.1769 / 3.86",4.4504,1.4701,3.1306e-05,4.6666e-05
"515.3198 / 14.40  MNH4",4.4496,1.3805,3.1306e-05,4.6666e-05
"515.9140 / 18.86",4.4492,1.1501,3.1306e-05,4.6666e-05
"419.8760 / 3.17",4.4492,1.5009,3.1306e-05,4.6666e-05
"332.1826 / 4.74",4.449,1.6376,3.1306e-05,4.6666e-05
"330.1662 / 4.75",4.449,1.5345,3.1306e-05,4.6666e-05
"458.7073 / 17.53  M2",4.4484,1.416,3.1306e-05,4.6666e-05
"270.1092 / 3.41",4.4476,1.708,3.1306e-05,4.6666e-05
"452.9243 / 10.55  M3H3",4.445,1.781,3.1306e-05,4.6666e-05
"403.2512 / 6.74",4.4447,1.5957,3.1306e-05,4.6666e-05
"419.2200 / 16.07",4.4446,1.4607,3.1306e-05,4.6666e-05
"220.9961 / 1.03",4.4437,0.54084,3.1306e-05,4.6666e-05
"534.7081 / 17.64",4.4437,1.5317,3.1306e-05,4.6666e-05
"439.2551 / 20.17  M-H-",4.4434,1.4934,3.1306e-05,4.6666e-05
"495.2892 / 14.22",4.4434,1.5623,3.1306e-05,4.6666e-05
"189.0072 / 2.22",4.4425,0.12788,3.2089e-05,4.7332e-05
"470.7358 / 11.78  M2NH42",4.4423,1.6792,3.2089e-05,4.7332e-05
"197.1290 / 2.57  MH",4.4413,1.6832,3.2089e-05,4.7332e-05
"405.1528 / 16.23",4.4407,1.5567,3.2089e-05,4.7332e-05
"541.2293 / 15.30  M-H-",4.4395,1.6496,3.2089e-05,4.7332e-05
"471.7555 / 10.64  M2H2",4.4387,1.398,3.2089e-05,4.7332e-05
"777.3999 / 16.08",4.4376,1.4127,3.2089e-05,4.7332e-05
"878.3904 / 15.18",4.4372,1.5947,3.2089e-05,4.7332e-05
"346.2231 / 8.56  MH",4.4362,1.655,3.2089e-05,4.7332e-05
"546.2822 / 15.41",4.436,1.3876,3.2089e-05,4.7332e-05
"647.3403 / 15.21  MNH4",4.4355,1.4459,3.2089e-05,4.7332e-05
"558.7715 / 20.88  M2H2",4.4352,1.5332,3.2089e-05,4.7332e-05
"594.2935 / 18.78",4.4343,1.7353,3.2089e-05,4.7332e-05
"637.3176 / 17.17",4.4336,1.5282,3.2089e-05,4.7332e-05
"400.4688 / 9.28  M4H4",4.4325,1.7335,3.2089e-05,4.7332e-05
"380.2172 / 10.44",4.4324,1.5935,3.2089e-05,4.7332e-05
"504.2466 / 9.59",4.4324,1.5932,3.2089e-05,4.7332e-05
"298.1767 / 4.72",4.431,1.384,3.2089e-05,4.7332e-05
"491.2498 / 17.55  M-H-",4.431,1.5725,3.2089e-05,4.7332e-05
"727.3060 / 14.59",4.4307,1.3804,3.2089e-05,4.7332e-05
"642.3461 / 7.57",4.4307,1.5075,3.2089e-05,4.7332e-05
"620.2516 / 11.40",4.4305,1.5392,3.2089e-05,4.7332e-05
"425.7200 / 11.64  MHNH42",4.4302,1.3228,3.2089e-05,4.7332e-05
"299.0063 / 0.43",4.4297,0.4422,3.2089e-05,4.7332e-05
"529.2322 / 14.08",4.4297,1.8376,3.2089e-05,4.7332e-05
"770.4161 / 12.31  M-H-",4.4292,1.4163,3.2089e-05,4.7332e-05
"490.2330 / 9.44",4.4292,1.637,3.2089e-05,4.7332e-05
"942.4446 / 18.49",4.4287,1.2773,3.2872e-05,4.8288e-05
"588.2556 / 17.92  M-2H2-",4.4287,1.5291,3.2872e-05,4.8288e-05
"333.1565 / 5.19",4.4271,1.5415,3.2872e-05,4.8288e-05
"618.2902 / 18.75  MNa",4.4269,1.5077,3.2872e-05,4.8288e-05
"351.1860 / 11.00  M2H2",4.4266,1.5853,3.2872e-05,4.8288e-05
"879.4243 / 19.23",4.4262,1.4596,3.2872e-05,4.8288e-05
"772.4386 / 14.56",4.4255,1.5187,3.2872e-05,4.8288e-05
"487.2502 / 5.14",4.4248,1.6349,3.2872e-05,4.8288e-05
"389.2410 / 6.29  MH",4.4248,1.6689,3.2872e-05,4.8288e-05
"409.2378 / 11.75",4.4247,1.5073,3.2872e-05,4.8288e-05
"98.9756 / 1.04",4.424,0.57904,3.3654e-05,4.9364e-05
"373.2147 / 11.83",4.424,1.4919,3.3654e-05,4.9364e-05
"629.3449 / 9.29",4.4239,1.4424,3.3654e-05,4.9364e-05
"600.3004 / 9.09",4.4228,1.5844,3.3654e-05,4.9364e-05
"499.2876 / 9.57",4.4218,1.5977,3.4437e-05,4.9937e-05
"463.2536 / 16.56",4.4213,1.5801,3.4437e-05,4.9937e-05
"894.4140 / 12.53",4.4209,1.2791,3.4437e-05,4.9937e-05
"358.1957 / 7.71",4.4206,1.4415,3.4437e-05,4.9937e-05
"705.8128 / 18.43",4.4199,1.2249,3.4437e-05,4.9937e-05
"429.1974 / 9.14",4.4193,1.2553,3.4437e-05,4.9937e-05
"611.2784 / 3.61  M-H-",4.4189,1.4042,3.4437e-05,4.9937e-05
"901.3610 / 18.75",4.4183,1.3068,3.4437e-05,4.9937e-05
"890.3778 / 20.14",4.4175,1.2054,3.4437e-05,4.9937e-05
"619.3085 / 16.72  M-H-",4.4173,1.5316,3.4437e-05,4.9937e-05
"371.2656 / 3.67",4.4167,1.5407,3.4437e-05,4.9937e-05
"342.1663 / 2.74",4.4151,1.567,3.4437e-05,4.9937e-05
"555.6284 / 18.78",4.4146,1.4556,3.4437e-05,4.9937e-05
"403.2317 / 11.47",4.4144,1.5452,3.4437e-05,4.9937e-05
"562.7935 / 16.32  M2H2",4.4139,1.3649,3.4437e-05,4.9937e-05
"417.2501 / 16.88",4.4102,1.5116,3.4437e-05,4.9937e-05
"453.1982 / 6.29",4.4101,1.5822,3.4437e-05,4.9937e-05
"906.4708 / 20.20",4.4098,1.483,3.4437e-05,4.9937e-05
"552.8153 / 19.70  M2H2",4.4088,1.3658,3.4437e-05,4.9937e-05
"371.2285 / 4.12",4.4084,1.6711,3.4437e-05,4.9937e-05
"416.2523 / 14.70",4.4081,1.4823,3.4437e-05,4.9937e-05
"304.1509 / 2.32  MFA-H-",4.4081,1.5593,3.4437e-05,4.9937e-05
"684.4405 / 2.42",4.4081,1.6366,3.4437e-05,4.9937e-05
"774.4356 / 3.74  M-H-",4.4078,1.7533,3.4437e-05,4.9937e-05
"572.3016 / 9.64",4.4071,1.3633,3.4437e-05,4.9937e-05
"378.2203 / 7.50  M2H2",4.4059,1.6873,3.4437e-05,4.9937e-05
"575.7400 / 19.20  M-2H2-",4.4052,1.4653,3.4437e-05,4.9937e-05
"275.2082 / 1.04  MNH4",4.4045,1.4482,3.522e-05,5.0792e-05
"437.7394 / 12.63  M2H2",4.4045,1.3779,3.522e-05,5.0792e-05
"530.2816 / 10.75",4.4031,1.47,3.522e-05,5.0792e-05
