"","Overall"
"703.3452 / 19.88",35.815
"181.0089 / 1.43",35.808
"526.2945 / 23.03",35.801
"149.0230 / 19.20",35.795
"444.2250 / 16.64  M3H3",35.778
"187.0600 / 8.02",35.73
"283.0493 / 16.70",35.728
"263.0241 / 3.33",35.717
"223.1055 / 5.23",35.714
"248.0917 / 2.44",35.695
"689.9189 / 21.69  MHNa2",35.685
"243.8811 / 5.59",35.683
"145.0082 / 3.13",35.679
"327.1345 / 8.81",35.674
"259.1057 / 3.21  MNa",35.655
"772.9732 / 1.13  2MNa-2H-",35.639
"231.0468 / 1.62",35.608
"104.9635 / 10.89",35.604
"100.9255 / 8.83",35.597
"338.1712 / 17.36  M-H-",35.567
"332.2180 / 10.73",35.562
"234.9741 / 4.92",35.553
"436.1726 / 12.88",35.523
"715.0388 / 13.93  3M2Na-3H-",35.513
"136.0623 / 5.91",35.505
"512.7877 / 13.38",35.502
"382.0999 / 9.84",35.493
"235.1815 / 8.81  MH",35.435
"179.0719 / 17.29",35.424
"636.2868 / 18.95",35.414
"281.1033 / 5.15",35.414
"508.1548 / 4.26",35.333
"283.0281 / 26.90",35.331
"443.2219 / 13.94",35.323
"746.4036 / 1.88",35.308
"280.0921 / 1.45  MNa",35.308
"443.9976 / 21.24",35.292
"257.1635 / 7.97  MNa",35.288
"301.1895 / 2.73  M3H3",35.246
"244.1296 / 2.23",35.208
"369.9231 / 2.58",35.204
"243.1710 / 6.86  M-H-",35.183
"655.2240 / 4.26  3M2Na-3H-",35.181
"814.4449 / 19.77",35.14
"262.1292 / 1.62",35.136
"195.0535 / 11.51",35.128
"376.0133 / 22.27  MNa",35.103
"200.9852 / 2.43",35.053
"443.2853 / 15.47  MH",34.989
"258.1107 / 1.48  MH",34.985
"556.9612 / 1.06",34.974
"372.2198 / 10.26",34.944
"560.2801 / 18.73  M3H3",34.93
"433.0053 / 25.30",34.928
"325.0344 / 2.49",34.925
"334.1395 / 4.57  MCH3OHH",34.902
"126.0915 / 10.44  MH",34.896
"99.9252 / 3.24",34.892
"523.2119 / 7.93  MNa-2H-",34.89
"262.1648 / 2.25  MCH3OHH",34.881
"544.8031 / 17.84  MHNa2",34.864
"186.9965 / 25.36",34.864
"449.2018 / 19.81",34.84
"144.0807 / 7.95",34.82
"197.1297 / 11.75",34.795
"271.0922 / 4.10",34.768
"211.1308 / 17.75",34.767
"703.0043 / 1.16",34.732
"378.2082 / 11.00",34.728
"587.1835 / 6.79",34.715
"177.0549 / 13.72",34.657
"408.7092 / 10.81  M2H2",34.626
"166.0859 / 9.33",34.62
"353.0715 / 1.49",34.592
"313.0937 / 13.89",34.577
"288.1190 / 1.78",34.573
"127.0390 / 6.82  MH",34.569
"178.0170 / 2.57",34.568
"618.3072 / 19.17  MNa-2H-",34.563
"231.1343 / 2.42  M-H-",34.557
"302.1601 / 3.87",34.508
"114.9476 / 7.82",34.483
