"","Overall"
"114.0660 / 1.45  MH",15.192
"258.1452 / 2.38  M-H-",15.188
"155.9708 / 10.71",15.188
"666.3456 / 10.54  MNa-2H-",15.186
"604.3332 / 19.83",15.179
"612.2776 / 3.47",15.178
"299.0065 / 5.40",15.176
"858.3975 / 14.59",15.175
"661.3285 / 15.23  MNa-2H-",15.175
"540.0384 / 18.76",15.174
"454.5883 / 21.66  M2HNa3",15.171
"551.7840 / 18.84",15.171
"615.3461 / 3.55",15.171
"472.7643 / 3.80  M2H2",15.17
"644.3622 / 15.82",15.166
"479.2137 / 11.63  3M-H-",15.166
"387.0261 / 5.26",15.164
"321.1642 / 5.00",15.164
"701.3603 / 11.07  MH",15.164
"319.6862 / 11.77",15.164
"562.3090 / 13.62",15.162
"432.1871 / 14.53",15.159
"516.3380 / 17.46",15.155
"511.6382 / 21.85  M3H3",15.153
"586.3022 / 18.56  M-2H2-",15.151
"315.1322 / 7.08  MNa-2H-",15.151
"291.0984 / 9.56  M-H-",15.15
"425.2111 / 3.99  M2H2",15.147
"655.3826 / 19.63",15.145
"413.9713 / 1.01",15.138
"549.6220 / 19.70  M3H3",15.138
"463.7179 / 18.11  M2H2",15.137
"594.2935 / 18.78",15.134
"623.2672 / 10.60",15.129
"460.7359 / 12.33",15.127
"593.2903 / 19.42  MNa-2H-",15.126
"181.9924 / 8.26",15.125
"274.1193 / 4.82",15.121
"298.1767 / 4.72",15.121
"202.0286 / 1.10",15.118
"599.3023 / 8.05",15.118
"539.2494 / 21.15  MAcO-H-",15.115
"712.3261 / 17.83",15.113
"478.2301 / 11.07",15.113
"621.2525 / 21.15",15.111
"538.2979 / 18.16",15.11
"541.2343 / 16.14",15.109
"456.1424 / 12.99  MNa-2H-",15.108
"232.0618 / 7.49",15.105
"763.3470 / 15.89",15.105
"738.9445 / 1.29",15.104
"657.2977 / 8.08",15.102
"500.2397 / 11.11",15.101
"415.3007 / 23.15",15.1
"638.0229 / 19.66  M3H3",15.099
"365.1267 / 15.51",15.098
"817.3945 / 15.84  M-H-",15.098
"709.0217 / 12.87",15.097
"452.2162 / 9.87  M3H3",15.097
"302.1353 / 3.57",15.097
"414.2346 / 5.45",15.097
"549.1642 / 22.62",15.095
"958.5184 / 15.07",15.089
"105.9351 / 4.01",15.088
"754.3459 / 19.21",15.088
"225.9233 / 0.29",15.088
"736.3289 / 19.64  M-H-",15.086
"96.9606 / 3.87",15.085
"487.3139 / 18.04",15.084
"659.3643 / 14.80",15.081
"163.0273 / 1.08",15.079
"545.2919 / 14.82  MH",15.076
"606.3507 / 19.82  MH",15.076
"595.2347 / 17.55",15.075
"487.7750 / 16.85",15.075
"404.1447 / 14.98",15.072
"545.2427 / 19.25",15.067
"364.1868 / 9.03",15.066
"588.2556 / 17.92  M-2H2-",15.065
"751.3441 / 16.82",15.064
"725.2649 / 13.30",15.063
"371.2292 / 7.83",15.063
"407.2107 / 9.42  M3H3",15.059
"359.1264 / 20.87  M-H-",15.058
"247.1104 / 18.85",15.057
"728.3935 / 12.05",15.053
"303.9001 / 0.30",15.052
"742.8706 / 20.18  M2H2",15.052
"494.2704 / 3.92",15.052
"452.2081 / 14.12",15.051
"505.7201 / 21.49",15.05
"613.9580 / 19.44  M3H3",15.05
"451.2658 / 4.54  MNH4",15.048
"340.6862 / 10.22",15.046
"623.3264 / 21.40  MHK2",15.045
"414.1985 / 9.35",15.044
"707.3369 / 8.46",15.04
"219.0127 / 12.06",15.039
"448.1824 / 6.95  MCl-",15.038
"424.3060 / 8.83",15.037
"771.3537 / 20.97  M-H-",15.036
"702.3677 / 7.29  M-H-",15.035
"429.7398 / 11.68  M2H2",15.034
"536.2080 / 19.10  M-2H2-",15.03
"210.0541 / 18.65  MNa-2H-",15.028
"343.1292 / 5.80",15.028
"788.3734 / 16.73",15.028
"322.1875 / 1.83",15.027
"278.9547 / 0.34",15.026
"629.3690 / 16.59",15.025
"641.2907 / 16.69  MNa-2H-",15.025
"529.3068 / 8.11",15.019
"491.2354 / 9.47",15.019
"538.7475 / 19.98",15.016
"101.0083 / 14.28",15.015
"919.4165 / 15.42  M-2H2-",15.014
"296.1693 / 5.78",15.011
"610.2524 / 18.09  MH",15.01
"289.9931 / 6.97",15.005
"299.0057 / 30.87",15.004
"330.1919 / 11.19",15.003
"619.2944 / 12.96  M3H3",15.001
"225.1628 / 10.29",14.989
"262.1195 / 4.58  MNH4",14.988
"471.2821 / 19.50",14.988
"234.9909 / 1.86",14.987
"768.2987 / 20.55  M-H-",14.986
"588.3231 / 19.79",14.983
"467.2602 / 3.20",14.981
"517.2665 / 15.74",14.98
"301.1513 / 11.13  MH",14.979
"542.3662 / 3.99",14.979
"633.3344 / 10.74",14.978
"652.8763 / 16.61",14.978
"828.4375 / 11.33  2MNH4",14.978
"673.3228 / 19.64",14.977
"311.1858 / 12.32  M2H2",14.976
"362.1933 / 2.63  MCH3OHH",14.975
"143.0190 / 4.09",14.974
"754.4099 / 15.61",14.972
"182.0819 / 9.70",14.97
"516.2297 / 11.35",14.968
"165.0742 / 2.77",14.968
"425.1784 / 3.70",14.968
"201.0243 / 6.48",14.967
"545.2910 / 13.30",14.967
"434.2434 / 9.10",14.966
"548.2729 / 13.82",14.965
"426.1605 / 18.31  MNa-2H-",14.961
"407.1939 / 9.56  M-H-",14.961
"471.2557 / 6.34",14.96
"301.0265 / 1.10",14.958
"465.2345 / 14.85",14.957
"515.9557 / 16.23  M3H3",14.956
"330.2019 / 4.38",14.954
"472.5866 / 19.30  M3H3",14.953
"364.1620 / 3.65",14.951
"460.3109 / 7.28",14.951
"349.2337 / 13.98  M2H2",14.948
"430.1881 / 5.46",14.945
"576.3065 / 16.56  MH",14.942
"599.3158 / 8.41",14.941
"117.9274 / 13.58",14.94
"443.7229 / 13.14  M2H2",14.94
"388.2172 / 2.02",14.94
"515.0058 / 21.78",14.935
"863.4605 / 12.68  MNa-2H-",14.935
"440.2351 / 13.40  M",14.934
"555.9808 / 1.04",14.934
"158.9932 / 24.95",14.934
"477.7123 / 17.69",14.933
"245.1296 / 16.34",14.932
"446.9551 / 1.31",14.93
"591.2890 / 16.35  M",14.93
"984.0120 / 19.99  M-2H2-",14.929
"700.3458 / 21.15  M2H2",14.926
"799.3724 / 15.42",14.926
"423.2337 / 3.47",14.925
"323.1221 / 11.21",14.925
"329.6264 / 20.60",14.921
"558.2900 / 12.45",14.92
"435.9669 / 11.83",14.918
"643.3250 / 2.60",14.917
"235.1661 / 1.54",14.913
"489.2943 / 16.84  MH",14.912
"347.2217 / 21.14",14.911
"541.2881 / 15.54",14.911
"146.9706 / 9.11",14.91
"610.8231 / 19.25",14.909
"397.2441 / 16.45",14.908
"700.3868 / 18.94",14.908
"531.2421 / 12.57  MFA-H-",14.908
"666.3529 / 18.78",14.907
"506.2420 / 14.35  M-2H2-",14.906
"395.2045 / 10.45",14.905
"968.3731 / 18.12",14.903
"515.2377 / 22.10",14.903
"829.4413 / 10.17",14.902
"562.2669 / 17.13",14.902
"367.7088 / 18.33",14.902
"215.1397 / 12.51",14.901
"527.2602 / 15.44",14.901
"481.2610 / 18.31",14.901
"283.0497 / 31.87",14.901
"232.9761 / 16.68",14.901
"595.3173 / 9.24",14.9
"522.2946 / 12.13  M2H2",14.899
"550.3091 / 19.23  M3H3",14.899
"547.3096 / 12.83",14.899
"330.2382 / 11.93",14.897
"652.3248 / 17.87  M3H3",14.896
"114.9467 / 15.55",14.896
"317.1312 / 1.57",14.893
"329.0075 / 1.18",14.892
"750.3324 / 10.64",14.889
"447.2051 / 17.86",14.889
"399.2323 / 18.20  M2H2",14.888
"503.7846 / 18.98  MHNa2",14.887
"435.1915 / 10.98",14.887
"399.1877 / 4.50",14.885
"739.3635 / 18.62",14.885
"302.6870 / 4.99",14.881
"513.3040 / 14.98",14.873
"413.1551 / 3.34",14.873
"279.0185 / 13.81",14.872
"937.3525 / 21.09",14.871
"449.2083 / 18.27",14.871
"387.0256 / 6.05",14.869
"741.0222 / 20.01  M3H3",14.868
"510.2548 / 6.94",14.868
"717.3191 / 12.55",14.865
"811.3641 / 14.63  MNa-2H-",14.865
"359.1648 / 14.76  MH",14.864
"542.3279 / 17.78  MHNH42",14.864
"325.0688 / 8.81  2MNa-2H-",14.863
"342.1669 / 11.55",14.862
"493.7173 / 8.72",14.862
"580.6549 / 17.74  M3H3",14.862
"257.1764 / 22.62  MAcO-H-",14.859
"586.3337 / 15.33",14.858
"535.2691 / 1.95",14.855
"446.1350 / 9.92  MNa-2H-",14.854
"673.2581 / 13.50",14.851
"384.0811 / 20.85",14.85
"756.3910 / 10.73  M-H-",14.848
"268.9985 / 18.52",14.845
"84.0805 / 1.87",14.845
"555.7707 / 18.79",14.844
"547.2529 / 16.34",14.843
"518.2610 / 16.76",14.842
"923.4736 / 21.20",14.841
"405.1736 / 14.21  MNa-2H-",14.836
"764.2829 / 14.25",14.836
"485.7587 / 11.12",14.836
"510.2204 / 5.40",14.834
"487.1654 / 22.25",14.833
"673.3769 / 19.10  MAcO-H-",14.831
"312.1721 / 24.49",14.83
"485.2595 / 11.75",14.825
"684.3096 / 15.43",14.823
"300.1922 / 8.15",14.823
"925.4141 / 16.59  2MH",14.823
"431.7200 / 7.60",14.821
"496.7836 / 18.79  M2H2",14.821
"572.7675 / 20.88",14.82
"556.2414 / 16.91",14.818
"967.5196 / 14.85  M-H-",14.816
"486.2737 / 14.85",14.815
"371.1684 / 21.27",14.813
"495.1810 / 3.14",14.812
"773.2880 / 9.30  MNa-2H-",14.807
"578.3207 / 18.97",14.806
"424.1286 / 8.86",14.804
"413.2756 / 16.75",14.804
"687.1975 / 22.26",14.801
"193.1232 / 20.77",14.799
"718.7469 / 22.36",14.797
"543.6431 / 17.68  M3H3",14.796
"297.0475 / 21.48",14.795
"447.2438 / 7.60",14.794
"700.4010 / 4.22",14.793
"195.0882 / 1.01",14.791
"344.1477 / 1.57",14.79
"428.2370 / 16.01",14.789
"255.0495 / 5.01  MNa",14.786
"439.2176 / 6.73",14.784
"470.7358 / 11.78  M2NH42",14.784
"360.1602 / 11.06",14.783
"452.1779 / 11.64  MNa",14.783
"439.1827 / 4.25",14.783
"551.2272 / 9.70",14.779
"172.0055 / 9.90",14.779
"738.8479 / 13.31",14.777
"494.2075 / 12.96",14.776
"303.9015 / 31.76",14.775
"438.2982 / 23.55",14.773
"523.2736 / 15.08  M2H2",14.77
"813.3887 / 14.06",14.769
"447.7167 / 17.53  M2H2",14.769
"467.2453 / 9.21",14.769
"835.3199 / 14.40  2MH",14.768
"475.2540 / 14.92",14.766
"736.8314 / 13.31",14.763
"697.3411 / 17.44  MNa",14.762
"351.7114 / 4.15  MH",14.761
"543.2785 / 17.47",14.761
"981.5508 / 14.42",14.761
"904.4501 / 17.61",14.761
"589.2829 / 10.48",14.761
"343.7203 / 4.76",14.76
"343.1985 / 4.65",14.759
"549.7948 / 10.60",14.759
"495.2573 / 8.51  MNa-2H-",14.759
"375.2034 / 10.35",14.758
"492.2446 / 14.41",14.758
"544.2034 / 17.20  M-2H2-",14.757
"663.3210 / 15.20",14.753
"411.2231 / 18.94",14.753
"694.2867 / 12.75",14.752
"160.1336 / 3.49",14.752
"297.0839 / 20.61",14.75
"110.9756 / 1.86",14.743
"658.3685 / 10.96",14.739
"214.1305 / 5.61  MNH4",14.73
"562.2518 / 11.06",14.73
"821.0254 / 1.30",14.73
"776.4193 / 19.43",14.727
"776.0496 / 1.17",14.724
"879.4243 / 19.23",14.724
"472.2040 / 9.09",14.721
"483.9401 / 21.75  M2HNa3",14.717
"674.3706 / 12.82",14.717
"827.4298 / 13.65  MNa-2H-",14.715
"620.3411 / 11.68",14.714
"153.1269 / 12.94",14.706
"506.2620 / 3.53  M-H-",14.705
"537.2300 / 6.15",14.705
"735.3303 / 11.48",14.698
"448.0389 / 1.18",14.695
"308.1228 / 2.42",14.694
"414.7537 / 16.28",14.693
"229.1403 / 18.13",14.693
"603.3342 / 13.95",14.689
"223.0212 / 19.41  M-H-",14.689
"725.3296 / 18.98",14.685
"469.0275 / 10.51",14.685
"398.0625 / 20.78",14.685
"426.2056 / 15.17",14.683
"430.7270 / 12.96",14.683
"408.2372 / 7.69",14.683
"258.1710 / 6.57",14.682
"260.1034 / 4.60",14.677
"131.9157 / 14.70",14.677
"602.3516 / 4.91",14.677
"512.2579 / 11.49",14.676
"654.3567 / 15.01",14.673
"545.0166 / 16.01",14.671
"430.2652 / 6.71",14.669
"158.9931 / 20.90",14.668
"658.2929 / 22.87",14.667
"451.1949 / 10.42",14.667
"383.8850 / 10.06",14.667
"672.8394 / 19.88",14.664
"791.0256 / 21.16",14.664
"423.2346 / 11.07  MNH4",14.663
"223.0638 / 2.68",14.661
"543.2391 / 20.17",14.659
"366.0355 / 1.14",14.657
"722.3346 / 14.24",14.655
"536.2696 / 15.52  MNa-2H-",14.652
"505.9809 / 21.88  M3H3",14.652
"262.9811 / 5.54",14.65
"463.2558 / 12.00",14.648
"528.3021 / 14.63  M-H-",14.648
"115.9206 / 21.27  M-H-",14.646
"542.5823 / 18.86  M3H3",14.642
"245.1267 / 7.34",14.641
"604.2840 / 13.62",14.641
"167.0212 / 2.80  M-H-",14.635
"688.3523 / 16.16  MFA-H-",14.634
"301.1052 / 20.46",14.634
"483.2571 / 14.82  M-2H2-",14.633
"611.0419 / 1.17  M-H-",14.632
"357.1017 / 9.71",14.63
"585.2311 / 17.55",14.628
"750.3827 / 20.33  MNa",14.626
"251.6311 / 7.99  M2H2",14.625
"527.3548 / 8.97",14.625
"99.9267 / 6.40",14.625
"381.0098 / 17.51",14.619
"192.0327 / 2.03  MH",14.618
"456.2451 / 8.27  M-H-",14.616
"490.2653 / 9.43  M3H3",14.613
"407.2269 / 13.56",14.613
"406.0465 / 8.86",14.612
"385.7002 / 10.68",14.611
"414.2339 / 12.59",14.611
"557.3047 / 19.51  M3H3",14.61
"338.1539 / 3.72",14.61
"432.1795 / 18.63",14.607
"242.1982 / 2.47",14.605
"679.2923 / 16.19",14.601
"82.9977 / 22.63",14.597
"500.3082 / 13.17  M-H-",14.597
"530.2816 / 10.75",14.596
"581.2759 / 16.62  MHK2",14.595
"610.2592 / 17.29  M-2H2-",14.595
"633.0382 / 14.14",14.591
"667.3296 / 13.38",14.59
"483.3071 / 18.09",14.589
"686.3064 / 19.23  M-2H2-",14.588
"101.0087 / 1.10",14.586
"249.9795 / 30.87",14.585
"743.3597 / 18.15",14.584
"533.2387 / 6.78",14.583
"744.4119 / 19.27",14.583
"234.9762 / 16.15",14.582
"641.2929 / 20.21",14.581
"398.8767 / 30.96",14.579
"249.9791 / 16.26  MAcO-H-",14.578
"430.2314 / 7.34",14.577
"379.0905 / 9.02  M-H2O-H-",14.574
"573.2634 / 19.29  MNa-2H-",14.574
"675.3141 / 19.23  M-2H2-",14.574
"661.3164 / 16.47",14.573
"508.2785 / 20.28",14.572
"775.0473 / 1.21  M-H-",14.572
"686.3254 / 9.37",14.57
"453.2925 / 21.14",14.569
"684.3904 / 19.73",14.569
"681.3443 / 17.69",14.564
"554.2923 / 11.49",14.564
"416.1109 / 11.37  MH",14.563
"323.1602 / 22.25  MNa",14.563
"402.1975 / 9.28",14.562
"572.2931 / 8.48",14.561
"107.0508 / 10.70",14.556
"465.7375 / 5.37",14.554
"556.3091 / 13.10",14.552
"490.2506 / 6.42",14.55
"472.2044 / 12.96",14.545
"590.2555 / 3.70",14.541
"508.2474 / 11.48",14.538
"837.4005 / 14.98",14.538
"571.7641 / 14.47",14.536
"141.0167 / 6.87  M-H-",14.535
"82.9978 / 18.59",14.534
"347.6944 / 8.11",14.533
"682.3881 / 11.53  M-H-",14.529
"516.3009 / 13.81",14.523
"235.1083 / 3.56  MNH4",14.523
"629.2894 / 15.93  MNa-2H-",14.522
"362.1681 / 17.34  MNa",14.521
"660.3720 / 19.47",14.519
"711.3332 / 20.97  MNa-2H-",14.519
"203.0824 / 2.30  2MNa",14.518
"481.2260 / 13.07  M2H2",14.515
"486.2580 / 9.77",14.51
"231.0990 / 1.59",14.51
"705.3661 / 9.94",14.509
"149.0464 / 1.59",14.508
"156.9591 / 14.07",14.507
"606.2888 / 15.04",14.505
"510.2530 / 8.05",14.505
"329.0216 / 1.09",14.504
"493.7521 / 11.61",14.501
"777.4238 / 21.78  MHK2",14.499
"574.9371 / 1.29",14.498
"641.3631 / 13.81",14.497
"443.1771 / 2.54",14.494
"872.4012 / 15.07  M-H-",14.493
"582.3154 / 19.51  M-H-",14.492
"748.3196 / 10.68  M-H-",14.489
"742.2682 / 12.34  MK-2H-",14.488
"632.7919 / 17.55",14.488
"776.2537 / 18.79",14.487
"939.0552 / 1.18",14.486
"702.4145 / 4.18  2MH",14.486
"164.0711 / 2.79  M-H-",14.483
"174.9931 / 6.07",14.482
"505.1957 / 15.74",14.481
"651.2979 / 4.79",14.48
"812.9391 / 17.67  M-2H2-",14.479
"554.2601 / 9.42",14.476
"625.3553 / 16.25",14.476
"355.1607 / 11.40",14.475
"504.3163 / 13.79",14.472
"709.0209 / 26.29",14.472
"186.9954 / 10.17",14.471
"615.3701 / 19.15  M-H-",14.47
"896.4694 / 9.41",14.469
"551.0320 / 20.29",14.469
"706.3786 / 11.48",14.469
"589.2080 / 15.54",14.465
"494.0151 / 1.18",14.463
"674.2896 / 22.49",14.462
"424.2663 / 18.47",14.462
"563.2799 / 8.19  MNa-2H-",14.457
"530.0429 / 1.15  M-",14.456
"574.2404 / 17.55  M-2H2-",14.456
"868.5052 / 22.04  M2Na2",14.455
"632.3248 / 5.99",14.453
"642.3237 / 11.55",14.453
"544.7536 / 12.96",14.452
"473.0663 / 13.76",14.448
"531.2912 / 16.95",14.448
"305.0240 / 15.74",14.446
"160.1332 / 1.59",14.445
"475.2565 / 13.91",14.444
"247.0045 / 1.15  MH",14.444
"380.1991 / 10.50  M2H2",14.444
"894.4250 / 20.52  2M-H-",14.444
"750.4011 / 17.56",14.442
"660.6593 / 19.63  M3H3",14.44
"548.7860 / 13.74  M2H2",14.438
"290.1729 / 13.91  MNa",14.437
"504.2060 / 12.92  MNa-2H-",14.437
"635.3097 / 18.20  M2H2",14.435
"889.4497 / 13.02",14.433
"201.0265 / 13.10",14.431
"800.4517 / 17.20",14.429
"459.2798 / 14.32",14.428
"616.3026 / 10.30  M2H2",14.426
"391.2072 / 5.29",14.426
"571.8017 / 12.34  M-2H2-",14.425
"396.7291 / 7.28",14.423
"256.9653 / 24.15",14.422
"551.2823 / 18.81",14.421
"514.2873 / 15.52  M-H-",14.418
"560.0562 / 19.27",14.418
"409.2088 / 3.47  M2H2",14.417
"970.4750 / 21.47",14.416
"574.3170 / 13.32",14.415
"694.3522 / 8.27",14.414
"515.2297 / 17.21",14.412
"108.0441 / 9.67",14.412
"613.2413 / 12.45",14.41
"490.2611 / 6.21",14.409
"456.2090 / 11.28",14.408
"694.3235 / 12.47  M2H2",14.408
"571.3087 / 7.57",14.408
"588.2419 / 3.72",14.407
"363.1106 / 15.54",14.401
"585.3696 / 9.92  MH",14.4
"690.2775 / 9.96",14.399
"322.6763 / 5.03  M2H2",14.399
"222.0087 / 10.70",14.398
"579.3114 / 16.47  MNa-2H-",14.395
"423.2210 / 9.56  2MNa",14.393
"520.2387 / 8.80  MNa",14.388
"596.2996 / 18.75",14.388
"230.1141 / 12.11",14.387
"429.1974 / 9.14",14.385
"454.3708 / 23.15  MNH4",14.384
"417.2048 / 11.46  M2H2",14.382
"792.6912 / 21.57",14.381
"858.4488 / 12.85",14.381
"727.4012 / 7.31",14.38
"620.2925 / 19.89",14.379
"346.2313 / 13.27",14.379
"826.3332 / 4.24",14.378
"555.6284 / 18.78",14.377
"515.7496 / 20.07",14.375
"555.1889 / 17.17  MTFA-H-",14.373
"957.0309 / 19.66",14.372
"103.9201 / 7.86",14.371
"723.2752 / 19.45  MNa-2H-",14.37
"437.2034 / 7.03",14.37
"614.3496 / 15.20",14.369
"291.9896 / 5.10",14.369
"130.0502 / 2.26",14.364
"508.7557 / 16.67  M4H4",14.363
"401.2391 / 8.50  MH",14.362
"549.2675 / 12.03  MH",14.361
"413.7637 / 9.37  M2H2",14.359
"155.9751 / 3.53",14.356
"833.4386 / 19.51  M-2H2-",14.351
"552.7761 / 12.10",14.351
"349.1158 / 9.50  MNa-2H-",14.351
"515.7182 / 15.17",14.351
"609.2872 / 11.86  MNa-2H-",14.351
"411.0104 / 1.21  MH",14.35
"524.2338 / 17.96  M2H2",14.349
"203.0331 / 16.29",14.347
"673.5996 / 19.57  M4H4",14.344
"841.3779 / 19.31",14.344
"586.2863 / 17.12",14.344
"251.9931 / 9.85",14.343
"249.0544 / 2.42",14.341
"579.6957 / 22.07",14.337
"628.4027 / 11.35",14.336
"938.4773 / 18.85  M-2H2-",14.334
"359.1566 / 1.60",14.332
"596.5282 / 25.45",14.329
"459.3268 / 23.21",14.329
"562.2889 / 17.42",14.327
"454.2654 / 13.71  M-H2O-H-",14.322
"667.8575 / 16.94",14.316
"996.5546 / 17.87",14.314
"656.3310 / 20.30  M-2H2-",14.314
"343.1617 / 1.78",14.313
"529.0372 / 1.21  M-H-",14.312
"593.2987 / 18.98",14.31
"249.1576 / 12.86",14.31
"363.6337 / 20.53",14.31
"633.3615 / 18.85",14.309
"256.1305 / 1.56",14.307
"374.2281 / 11.06",14.305
"646.3272 / 19.96  M4H4",14.304
"532.3138 / 19.40",14.304
"620.2967 / 20.60  MH",14.304
"548.2378 / 11.08  M-H-",14.303
"669.3467 / 19.20",14.302
"199.1338 / 22.62",14.302
"239.0930 / 21.38  M-H-",14.298
"508.2582 / 14.35  M2H2",14.297
"627.0189 / 14.99",14.297
"927.5649 / 19.36",14.293
"497.7548 / 10.33  M2H2",14.291
"268.9995 / 25.73",14.29
"457.2179 / 13.04",14.29
"715.0395 / 12.24  3M2Na-3H-",14.284
"688.3174 / 19.69  MH2Na3",14.283
"865.3789 / 9.47",14.282
"213.0114 / 6.48  MNa",14.277
"130.9988 / 12.84",14.276
"556.3087 / 11.46  MCH3OHH",14.276
"472.2762 / 19.05",14.275
"606.3961 / 18.75",14.272
"347.2283 / 5.72",14.272
"601.3185 / 10.29  M-H-",14.272
"223.0587 / 0.05",14.272
"737.3844 / 19.63  M-H-",14.265
"718.0483 / 13.40  M3H3",14.264
"517.7353 / 15.14",14.262
"799.4292 / 15.71",14.262
"485.2721 / 12.86  M-H-",14.261
"263.9943 / 9.50  M-",14.26
"477.2440 / 11.78  M2H2",14.258
"627.3718 / 16.27",14.253
"130.9993 / 14.05",14.252
"298.0815 / 8.25",14.251
"389.2410 / 6.29  MH",14.249
"621.3731 / 14.74  MNa",14.248
"373.1422 / 10.04",14.245
"503.2584 / 11.55  M",14.245
"441.3326 / 17.73  MH",14.242
"482.9935 / 1.01",14.239
"282.0504 / 10.47",14.238
"537.2926 / 15.50  M4H4",14.234
"115.9210 / 13.65  M-H-",14.233
"505.2519 / 20.07",14.233
"702.3658 / 17.04",14.232
"473.7387 / 12.10",14.231
"381.0090 / 18.68",14.23
"504.9340 / 0.32",14.23
"758.4290 / 21.84",14.23
"618.3054 / 14.41  M-2H2-",14.23
"463.2544 / 15.78",14.23
"740.4352 / 18.39  MH",14.229
"777.8623 / 18.79",14.229
"359.0566 / 6.51",14.229
"642.8547 / 13.11",14.227
"775.3671 / 19.56",14.227
"444.2475 / 12.63",14.227
"394.1233 / 5.52",14.227
"729.2440 / 22.97",14.224
"440.7501 / 16.10",14.223
"540.2774 / 8.48",14.223
"183.0623 / 2.47",14.222
"473.2389 / 20.21",14.221
"526.2990 / 12.11",14.22
"451.1827 / 6.87",14.218
"501.6098 / 16.35  M3H3",14.215
"201.0252 / 5.69",14.213
"963.4280 / 19.61  2M-H-",14.211
"577.2072 / 15.22  MCl-",14.21
"442.2076 / 14.52  M-",14.209
"412.6955 / 7.15",14.208
"303.9205 / 1.48",14.206
"422.6702 / 12.27",14.203
"83.9992 / 1.08",14.198
"799.3690 / 12.11  MNa",14.195
"608.8261 / 2.58",14.194
"439.7043 / 6.82  MHK2",14.189
"201.0258 / 18.53",14.183
"399.1655 / 21.52",14.182
"197.0680 / 4.98",14.181
"594.2423 / 14.57  M-2H2-",14.181
"388.1543 / 16.27",14.176
"661.3477 / 22.10  3M2Na-3H-",14.172
"499.2240 / 13.97  M3H3",14.172
"380.2175 / 13.98",14.172
"646.3209 / 22.73  MNa-2H-",14.171
"698.4071 / 16.50",14.169
"713.3564 / 8.80",14.168
"294.1532 / 7.05",14.165
"203.0327 / 20.64",14.165
"603.7632 / 19.73  M2H2",14.16
"333.1565 / 5.19",14.16
"289.1535 / 5.78  MNa",14.157
"590.2797 / 1.00",14.156
"520.2245 / 3.07",14.153
"463.2625 / 17.81  MHNH42",14.151
"336.1549 / 4.17",14.147
"158.9975 / 17.50",14.143
"575.3049 / 8.92  M-H-",14.141
"101.0088 / 10.34",14.141
"525.2014 / 11.70  M-H-",14.14
"175.0412 / 1.08",14.138
"653.3101 / 19.42  M-H-",14.136
"124.0153 / 2.84",14.136
"249.0866 / 21.85",14.132
"437.2273 / 6.78",14.129
"150.0017 / 19.55",14.127
"354.1739 / 8.46  M2H2",14.126
"496.2046 / 16.09  M-2H2-",14.121
"820.9444 / 1.29",14.119
"350.1712 / 9.57",14.119
"452.2252 / 2.56",14.117
"491.2498 / 17.55  M-H-",14.117
"325.2234 / 3.61",14.112
"441.2134 / 14.89",14.111
"485.1653 / 19.62  M-H-",14.109
"533.2859 / 19.39  M2H2",14.097
"567.5939 / 17.79  M3H3",14.097
"267.9347 / 16.20",14.097
"715.0368 / 8.87",14.096
"91.0543 / 2.10  MH",14.094
"288.2035 / 1.57",14.093
"181.9651 / 1.43",14.093
"459.2609 / 16.14",14.089
"916.4612 / 17.83  M-H-",14.086
"523.7583 / 18.40",14.085
"585.2532 / 9.39",14.082
"612.2634 / 19.01  MNa-2H-",14.082
"425.7245 / 12.95",14.081
"365.1973 / 21.25  M-H-",14.08
"379.1838 / 5.22",14.08
"687.8575 / 18.82  M2H2",14.079
"618.2902 / 18.75  MNa",14.078
"831.8670 / 18.18",14.074
"274.1826 / 1.00  MH",14.073
"447.2589 / 17.64",14.071
"750.3912 / 19.37",14.07
"719.3300 / 12.53",14.07
"460.0815 / 9.71",14.07
"336.0625 / 19.85",14.065
"882.5069 / 17.74",14.063
"493.0130 / 1.18  MH",14.061
"918.4776 / 17.82",14.053
"82.9981 / 1.07  MH",14.048
"546.2753 / 10.70  M-H-",14.045
"565.7956 / 10.35",14.045
"471.2218 / 11.26  M2Na2",14.044
"483.9403 / 14.77  M3H3",14.044
"446.1892 / 14.15",14.039
"423.1999 / 4.98",14.035
"136.0736 / 8.30  MNa",14.035
"701.4199 / 7.71",14.031
"732.2752 / 20.53",14.031
"497.7582 / 20.52",14.031
"556.0580 / 19.10  M4H4",14.03
"592.2774 / 19.07",14.024
"218.0067 / 11.82",14.022
"234.9746 / 6.22",14.02
"537.8776 / 24.29",14.017
"613.2941 / 7.08  M-H-",14.011
"517.2391 / 8.54",14.001
"244.1657 / 8.36",14.001
"497.2759 / 10.47",14
"473.2182 / 19.57  M3H3",13.996
"506.2854 / 19.52  M2Na2",13.995
"588.2411 / 9.33",13.994
"147.9462 / 9.16  M-H-",13.993
"665.8513 / 18.79  M2H2",13.993
"742.3674 / 15.19",13.992
"569.1677 / 22.25",13.991
"89.9603 / 5.03",13.991
"597.0111 / 22.23",13.99
"666.3576 / 9.66",13.986
"231.0683 / 4.07  MH",13.982
"464.2105 / 17.77",13.981
"132.9589 / 14.28",13.978
"540.2741 / 19.99",13.976
"530.3057 / 12.25  M2H2",13.974
"301.2177 / 22.65",13.974
"144.1021 / 1.61  MH",13.971
"717.3201 / 15.11",13.971
"481.1747 / 15.19",13.968
