"","p[1]","p(corr)[1]"
"207.9681 / 11.86",-37.613,-0.17478
"207.9681 / 7.21",-40.322,-0.16592
"207.9682 / 30.61  MAcO-H-",30.165,0.14352
"207.9682 / 31.97",59.793,0.22819
"207.9684 / 6.13",-43.359,-0.1546
"208.1424 / 21.63",5.8911,0.30468
"208.8448 / 1.39  MFA-H-",10.891,0.25844
"208.9201 / 30.35",38.263,0.18038
"208.9215 / 31.08",-50.358,-0.27261
"208.9217 / 31.62  M-",14.195,0.12153
"208.9219 / 0.85  M-",-6.6949,-0.29255
"208.9219 / 6.11",-4.7976,-0.020861
"208.9220 / 5.56",25.738,0.14133
"208.9222 / 0.14  M-",14.373,0.046934
"208.9292 / 28.77",0.45043,0.035151
"209.0436 / 7.83",-43.601,-0.19592
"209.0575 / 6.73",-5.1081,-0.027544
"209.0795 / 19.75  MNa-2H-",11.609,0.47918
"209.1557 / 21.38",0.97185,0.028796
"210.0396 / 4.48",338.44,0.92657
"210.0451 / 2.41",68.336,0.36803
"210.0541 / 18.65  MNa-2H-",14.569,0.059564
"210.8414 / 1.37  MFA-H-",13.136,0.28626
"210.9998 / 4.72",-95.567,-0.46718
"211.0006 / 2.57  MCl-",-117.1,-0.34063
"211.0585 / 5.18",17.714,0.079055
"211.0597 / 5.80",-60.509,-0.39018
"211.0613 / 9.62",30.261,0.11455
"211.0839 / 8.23",181.04,0.53607
"211.0953 / 20.80",2.9943,0.33846
"211.1344 / 21.50  M-H2O-H-",-1.3034,-0.068342
"212.0030 / 6.90  M-H2O-H-",-15.987,-0.14874
"212.0030 / 8.62",-34.252,-0.16512
"213.0043 / 6.95",-1.7652,-0.011731
"213.0224 / 19.88",39.206,0.1728
"213.0235 / 19.13",-10.662,-0.038169
"213.0403 / 9.59",28.969,0.11414
"213.0738 / 8.33",-79.013,-0.69095
"213.1493 / 21.91  MFA-H-",-9.0656,-0.40026
"213.1504 / 21.34",-0.2825,-0.051274
"213.1862 / 23.30",3.6084,0.29025
"213.8888 / 1.80",-47.198,-0.61413
"213.9655 / 12.94",12.033,0.13462
"213.9994 / 6.87",-24.161,-0.1129
"214.0187 / 4.76",37.488,0.15219
"214.0722 / 4.69",23.767,0.10942
"214.1455 / 20.70",5.0882,0.22801
"215.0341 / 1.45",91.449,0.7155
"215.0536 / 2.48",-24.447,-0.39238
"215.1044 / 4.32",80.512,0.37776
"215.1287 / 15.61",-2.0018,-0.010055
"215.1289 / 21.35",2.9609,0.17919
"215.1395 / 2.16",-280.88,-0.77779
"216.1425 / 2.13",-188.94,-0.65312
"217.0026 / 2.67",1.8477,0.058169
"217.0032 / 12.99",-66.182,-0.21119
"217.0033 / 20.33",-71.39,-0.18718
"217.0034 / 12.06",-72.783,-0.2605
"217.0034 / 17.74",-181.43,-0.59236
"217.0034 / 8.04",-165.19,-0.45352
"217.0035 / 31.13",77.217,0.2907
"217.0037 / 10.16",-65.244,-0.19945
"217.0037 / 7.08",-130.29,-0.34251
"217.0039 / 5.36",-77.375,-0.21284
"217.0040 / 0.07",26.347,0.086668
"217.0040 / 1.14  M-H-",-95.258,-0.63386
"217.0041 / 28.49",-49.987,-0.099263
"217.0041 / 3.65",1.9643,0.080321
"217.0042 / 29.78",-70.725,-0.17551
"217.0045 / 29.14",-1.2449,-0.063488
"217.0048 / 27.95",-0.0082801,-0.0010698
"217.0053 / 30.44",31.032,0.11027
"217.0317 / 1.45",60.694,0.67952
"217.0474 / 19.55",5.8107,0.11034
"217.0490 / 1.43  MCl-",46.312,0.6433
"217.1082 / 17.30",-19.136,-0.22288
"217.1188 / 2.16",-159.18,-0.59809
"218.0049 / 25.01",-4.2765,-0.011601
"218.0059 / 31.91",-43.4,-0.25081
"218.0062 / 13.84",69.744,0.26798
"218.0063 / 0.23",17.547,0.062256
"218.0064 / 10.54",-23.221,-0.099118
"218.0064 / 25.61",0.60837,0.12358
"218.0064 / 5.49",-106.96,-0.38579
"218.0065 / 14.60",20.556,0.082158
"218.0065 / 17.37",39.206,0.15287
"218.0065 / 6.07",-84.762,-0.30393
"218.0066 / 12.39",-41.801,-0.17334
"218.0066 / 22.99",-0.86042,-0.0027476
"218.0066 / 24.22",2.7893,0.18696
"218.0067 / 11.82",-45.583,-0.17739
"218.0067 / 16.64",-67.815,-0.24437
"218.0067 / 22.34",-16.638,-0.049901
"218.0067 / 30.68",28.946,0.14944
"218.0067 / 9.12",-79.192,-0.30547
"218.0067 / 9.64",-54.921,-0.23639
"218.0068 / 18.22",-29.386,-0.10418
"218.0068 / 21.50",53.843,0.20292
"218.0068 / 23.58",16.973,0.35957
"218.0068 / 26.37",0.70336,0.15161
"218.0069 / 12.91",-79.52,-0.29497
"218.0069 / 29.51",-4.0741,-0.18411
"218.0069 / 7.53",-57.496,-0.23056
"218.0070 / 19.77",61.742,0.30777
"218.0070 / 20.51",-31.596,-0.13787
"218.0070 / 30.05",12.815,0.064278
"218.0073 / 1.04",-70.089,-0.67151
"218.0073 / 16.07",-40.628,-0.1661
"218.0074 / 8.61",-183.63,-0.63929
"218.0076 / 15.23",-69.351,-0.2628
"218.0077 / 26.91",39.608,0.19133
"218.0079 / 18.96",34.042,0.14206
"218.0080 / 28.08",-1.6082,-0.23473
"218.0471 / 11.45",200.24,0.73065
"218.0665 / 2.70  M-H-",49.626,0.24665
"218.1034 / 4.80",55.355,0.55452
"218.9973 / 6.63",190.85,0.64987
"218.9983 / 5.61",136.7,0.43701
"219.0276 / 10.08",104.9,0.62791
"219.0792 / 2.30",52.245,0.33821
"219.1078 / 4.76",87.117,0.4875
"219.8474 / 2.30",11.732,0.29393
"219.8520 / 28.94",-0.012651,-0.00055317
"219.8548 / 1.79",-46.682,-0.59071
"219.9778 / 28.98",101.59,0.29427
"220.1478 / 21.63  M-H-",-10.277,-0.49203
"220.9684 / 19.05",-79.172,-0.307
"220.9807 / 7.59",-97.738,-0.33789
"220.9961 / 1.03",-71.317,-0.68739
"221.0242 / 28.48",-1.6659,-0.12648
"221.0797 / 20.01  MNa-2H-",-19.202,-0.12177
"221.0816 / 15.87",-17.893,-0.10408
"221.0824 / 21.05  M-H2O-H-",-8.2994,-0.28115
"221.0925 / 3.01",-245,-0.76251
"221.1185 / 20.46  M-H-",11.534,0.052255
"221.1193 / 21.07",16.328,0.26251
"221.1540 / 22.27  MAcO-H-",0.8355,0.04819
"221.1558 / 21.63  M-",-8.5001,-0.40092
"221.8433 / 2.34",7.9587,0.17591
"221.8503 / 28.95",-0.25597,-0.010706
"221.8517 / 1.76",-50.807,-0.62336
"221.9813 / 7.52",-83.254,-0.31656
"222.0307 / 2.73",21.221,0.47558
"222.1507 / 8.92",55.687,0.22309
"222.9651 / 19.03",-119.3,-0.51844
"222.9765 / 7.52",-43.475,-0.19126
"222.9922 / 2.52",33.337,0.48314
"223.0006 / 1.49  M-H-",-35.561,-0.36561
"223.0200 / 30.04",20.957,0.11137
"223.0200 / 7.03",-12.869,-0.058683
"223.0202 / 29.16",-6.727,-0.30258
"223.0203 / 13.77  M-H-",-60.615,-0.21894
"223.0204 / 10.17  M-H-",-5.2814,-0.0204
"223.0205 / 7.97",-9.839,-0.053239
"223.0205 / 9.59",-2.4924,-0.0098451
"223.0206 / 12.02  M-H-",-105.44,-0.40477
"223.0207 / 12.84",-25.101,-0.095018
"223.0207 / 18.54",-93.952,-0.3297
"223.0207 / 22.91  M-H-",-18.32,-0.12079
"223.0208 / 11.37  M-H-",-37.658,-0.13746
"223.0208 / 14.42  M-H-",9.1852,0.035096
"223.0208 / 15.12  M-H-",-66.263,-0.27343
"223.0208 / 16.24",-64.927,-0.25382
"223.0209 / 16.92",-47.423,-0.17096
"223.0209 / 20.89  M-H-",28.011,0.091153
"223.0210 / 17.93",-58.182,-0.26608
"223.0211 / 1.33  M-H-",-0.91998,-0.066769
"223.0211 / 27.31  M-H-",-0.63169,-0.028107
"223.0212 / 19.41  M-H-",-18.164,-0.087373
"223.0212 / 23.78",5.6221,0.35451
"223.0212 / 25.01",-0.96348,-0.046262
"223.0213 / 20.02  M-H-",-44.351,-0.13414
"223.0215 / 26.22  M-H-",6.0377,0.032889
"223.0219 / 21.95  M-H-",-38.678,-0.50752
"223.0240 / 21.44",-5.5665,-0.093803
"223.0954 / 20.75  MNa-2H-",-27.682,-0.43655
"223.1706 / 22.91  M-H-",2.2265,0.025086
"223.8487 / 28.95",-1.0651,-0.040942
"224.0283 / 21.46",-2.9177,-0.050822
"224.0562 / 8.37",297.54,0.85627
"224.0612 / 12.70",-16.558,-0.058459
"224.0632 / 21.34",6.9293,0.037544
"224.0638 / 20.80",-3.6232,-0.0096119
"224.5640 / 20.62",6.1882,0.019358
"225.0257 / 21.45",-18.742,-0.13243
"225.0643 / 4.31  MNa-2H-",41.556,0.60628
"225.0878 / 5.22",48.25,0.26343
"225.1111 / 21.53",1.0879,0.13419
"225.1498 / 21.76",6.5702,0.21706
"225.1499 / 21.15",7.2575,0.28869
"225.1628 / 10.29",-38.105,-0.19074
"225.1629 / 11.06  M-H-",4.4116,0.035815
"225.1863 / 23.19",-4.8995,-0.13353
"225.9233 / 0.29",-67.073,-0.19542
"225.9235 / 6.73",-102.22,-0.34972
"225.9236 / 13.88",-39.372,-0.30351
"225.9240 / 12.59",1.3947,0.0058589
"225.9241 / 30.78",-35.517,-0.16768
"225.9242 / 2.62",-16.918,-0.28857
"225.9243 / 10.13",-5.4182,-0.022238
"225.9243 / 11.08",-4.2331,-0.01555
"225.9243 / 11.70",-30.141,-0.1219
"225.9243 / 13.29",33.025,0.13071
"225.9243 / 31.39",-27.287,-0.13029
"225.9244 / 8.58",-151.14,-0.49473
"225.9245 / 7.35",-67.046,-0.25995
"225.9245 / 7.93",-127.83,-0.41792
"225.9246 / 4.22",6.1865,0.050771
"225.9246 / 6.17",-82.409,-0.26798
"225.9247 / 3.55",-24.135,-0.59766
"225.9247 / 5.64",-34.388,-0.13124
"225.9247 / 9.42",-13.75,-0.058167
"225.9250 / 29.98",22.042,0.10567
"225.9257 / 29.08",-49.763,-0.19358
"226.0176 / 14.46",-34.937,-0.11518
"226.1638 / 11.08",2.4039,0.017552
"226.9968 / 1.61",38.319,0.17704
"227.0199 / 14.49",21.383,0.098638
"227.1011 / 1.15",24.29,0.23723
"227.1030 / 3.01  M-H2O-H-",-78.616,-0.35529
"227.1039 / 6.82  M-H-",-100.81,-0.59984
"227.1085 / 20.97",20.444,0.10732
"227.1291 / 21.33",-1.0634,-0.023513
"227.1376 / 5.94",-179.17,-0.55392
"227.1397 / 4.96",-337.26,-0.80028
"227.1650 / 22.28",1.9406,0.15201
"227.2021 / 23.51",8.5011,0.64682
"227.9052 / 2.33",48.904,0.55469
"227.9731 / 1.80",-65.319,-0.73603
"227.9975 / 7.30  M-H-",65.693,0.26809
"228.1614 / 21.28",2.0492,0.11515
"228.2055 / 23.48",8.434,0.64277
"229.0542 / 21.72",53.812,0.23646
"229.0693 / 3.88",-15.913,-0.24244
"229.0708 / 2.48  2MNa-2H-",7.6063,0.21508
"229.1199 / 7.29  MFA-H-",-7.6933,-0.033115
"229.1444 / 21.78  M-H-",-4.1036,-0.20465
"229.1553 / 3.83  M-H-",-252.66,-0.70479
"229.9022 / 2.33",58.328,0.53573
"229.9977 / 20.87",-111.75,-0.42675
"230.0127 / 13.43",-21.419,-0.085327
"230.0137 / 7.39  M-H-",-279.97,-0.5909
"230.0364 / 21.27  M-H-",-80.701,-0.35284
"230.0719 / 2.41",21.207,0.51335
"230.1152 / 1.63",-35.879,-0.18537
"230.1595 / 3.39",-257.17,-0.73348
"230.9964 / 16.33",33.591,0.17729
"231.0164 / 7.48",-222.56,-0.57402
"231.0714 / 13.01",229.28,0.75711
"231.0990 / 1.59",-38.997,-0.30027
"231.1027 / 22.11",-0.58094,-0.0551
"231.1138 / 14.08",-207.62,-0.71562
"231.1247 / 19.67",35.196,0.21533
"231.1343 / 2.42  M-H-",-301.2,-0.75843
"231.1344 / 1.85",-109.82,-0.41834
"231.9676 / 30.17  M-H-",-16.03,-0.083225
"231.9678 / 0.09  M-H-",-24.305,-0.071868
"231.9682 / 30.85  M-H-",13.381,0.072273
"231.9685 / 1.84",-108.53,-0.80206
"232.0106 / 7.44",-214.1,-0.60795
"232.1196 / 2.13",138.99,0.56302
"232.9740 / 25.86",99.71,0.18772
"232.9741 / 8.65",-120.82,-0.38895
"232.9742 / 22.20",-7.0668,-0.025091
"232.9743 / 23.11",15.344,0.070704
"232.9743 / 24.62",-3.8396,-0.086778
"232.9744 / 9.82",-10.189,-0.042342
"232.9745 / 25.21",252.7,0.49261
"232.9747 / 2.96",7.3537,0.19518
"232.9748 / 28.03",-5.4309,-0.21444
"232.9751 / 6.95",11.007,0.040957
"232.9757 / 13.94",-18.876,-0.073698
"232.9758 / 0.04",1.1426,0.0037448
"232.9758 / 18.23",10.476,0.039112
"232.9760 / 18.97",-94.677,-0.3775
"232.9760 / 6.21",10.16,0.05724
"232.9761 / 16.68",-67.494,-0.26003
"232.9761 / 19.98",43.634,0.21379
"232.9761 / 5.42",3.4879,0.014539
"232.9762 / 31.87",-24.211,-0.13358
"232.9762 / 8.10",-83.469,-0.33702
"232.9763 / 0.64  M-",-3.5086,-0.095446
"232.9763 / 3.71",24.836,0.13279
"232.9765 / 4.42",-35.413,-0.1739
"232.9766 / 10.34",-56.536,-0.20571
"232.9766 / 15.43",3.0224,0.011749
"232.9766 / 29.45",-2.1941,-0.096921
"232.9767 / 17.33",128.49,0.47449
"232.9767 / 30.31  M-",18.902,0.083806
"232.9768 / 11.43",-2.8426,-0.011838
"232.9769 / 12.29",-145.98,-0.53353
"232.9769 / 21.04",-18.607,-0.15341
"232.9771 / 13.04",-15.773,-0.058606
"232.9773 / 31.19",40.392,0.18747
"232.9844 / 1.65",-15.391,-0.11831
"233.0426 / 8.81",75.936,0.4142
"233.1037 / 13.94",65.256,0.36867
"233.1556 / 22.63",3.6346,0.18273
"234.1001 / 3.78  MAcO-H-",252.94,0.82339
"234.1051 / 13.94",91.928,0.41757
"234.1579 / 22.65",3.8684,0.1901
"234.9741 / 4.92",-101.35,-0.27339
"234.9744 / 0.82",-7.1144,-0.14779
"234.9744 / 31.26",-64.543,-0.3295
"234.9745 / 0.24",10.82,0.040204
"234.9745 / 7.12",-20.734,-0.073959
"234.9746 / 6.22",-85.732,-0.31787
"234.9747 / 7.64",-82.157,-0.333
"234.9749 / 30.11",72.712,0.37976
"234.9750 / 9.72",-23.5,-0.11189
"234.9752 / 13.34",50.566,0.19056
"234.9760 / 12.61",-49.645,-0.18846
"234.9761 / 10.85",-98.336,-0.3632
"234.9761 / 16.85",-107.52,-0.44375
"234.9761 / 17.42",-121.88,-0.52926
"234.9761 / 5.66",-94.694,-0.33169
"234.9762 / 14.50",16.922,0.064672
"234.9762 / 16.15",-35.426,-0.18294
"234.9762 / 8.57",-79.832,-0.28841
"234.9762 / 9.17",-16.904,-0.083943
"234.9763 / 11.43",-52.287,-0.20688
"234.9763 / 15.61",-82.985,-0.341
"234.9763 / 29.49",4.0035,0.13501
"234.9765 / 31.81",-26.577,-0.13809
"235.0385 / 2.09",48.785,0.49922
"235.1084 / 3.20  M-H-",-219.94,-0.62957
"236.0924 / 15.01",7.9942,0.075402
"236.0944 / 4.95",172.78,0.67592
"236.1064 / 21.63",-9.1517,-0.43039
"236.9706 / 30.13",18.162,0.1187
"236.9928 / 1.08  MAcO-H-",43.184,0.5137
"237.0913 / 2.36",-105.04,-0.40221
"237.0924 / 1.39",-21.503,-0.10054
"237.1125 / 21.36  M-H-",5.6191,0.30534
"237.1136 / 20.77",-14.142,-0.20122
"237.9945 / 1.05",50.483,0.49658
"239.0600 / 21.44",0.0018064,3.6689e-05
"239.0677 / 22.39",1.8239,0.24621
"239.0874 / 2.34",-152.58,-0.51567
"239.0930 / 21.38  M-H-",23.184,0.1232
"239.1286 / 22.05",4.5906,0.35675
"239.1648 / 22.30",-23.552,-0.43185
"240.0296 / 4.46",93.486,0.39147
"240.0485 / 2.23",-6.0961,-0.10627
"240.1310 / 22.07",5.4286,0.39488
"241.0824 / 6.64",57.805,0.29461
"241.0855 / 11.88",-4.8129,-0.016165
"241.1056 / 19.26",5.3478,0.074329
"241.1184 / 2.73  M-H2O-H-",-188.48,-0.59935
"241.1190 / 5.11",51.501,0.25335
"241.1194 / 11.75  M-H-",-121.02,-0.62875
"241.1195 / 11.21",-115.49,-0.5934
"241.2174 / 23.70",3.5852,0.24004
"242.0122 / 10.47  M-H-",0.91927,0.0034289
"242.0794 / 1.45",47.78,0.31024
"242.1231 / 11.72",-230.42,-0.65187
"242.1755 / 24.26",-11.246,-0.20851
"242.1778 / 21.75",6.0034,0.26608
"243.0205 / 6.41",33.387,0.2197
"243.0338 / 19.59",-14.03,-0.080925
"243.0489 / 2.41",24.836,0.27285
"243.0617 / 2.60  M-H-",28.502,0.37212
"243.0632 / 1.99",42.785,0.411
"243.1350 / 13.45",62.52,0.26243
"243.1622 / 22.18",4.5791,0.30308
"243.1710 / 6.86  M-H-",-320.54,-0.77247
"243.1711 / 5.70",-327.81,-0.84098
"243.1712 / 7.71  M-H-",-261.11,-0.70427
"243.1799 / 21.76",6.0868,0.2493
"243.8801 / 8.64",-150.18,-0.54053
"243.8806 / 0.42",-6.4345,-0.25274
"243.8807 / 7.44",-136.26,-0.49299
"243.8808 / 6.55",-7.6235,-0.028139
"243.8808 / 9.14  M-H-",-126.12,-0.42672
"243.8811 / 0.95",9.8213,0.218
"243.8811 / 5.59",42.044,0.14666
"243.8816 / 31.78",36.948,0.26468
"243.8817 / 9.69",-20.988,-0.096864
"243.8821 / 3.69",-6.1068,-0.11272
"243.8824 / 8.11",-62.027,-0.25814
"243.8825 / 10.43",-47.525,-0.19314
"243.8827 / 29.93",-29.955,-0.14469
"243.8829 / 30.69",10.734,0.056338
"243.8834 / 4.69",-18.986,-0.076099
"243.8841 / 29.20",-1.6579,-0.11197
"243.8876 / 3.11",-7.1198,-0.20313
"243.8956 / 28.79",-0.54598,-0.029244
"244.0672 / 2.62",30.816,0.37814
"244.1296 / 2.23",-54.629,-0.21644
"244.1302 / 1.57  M-H-",-201.78,-0.62307
"244.1739 / 6.89",-257.34,-0.76097
"245.0488 / 18.60",18.405,0.10368
"245.0496 / 14.19",127.43,0.50246
"245.0496 / 17.45",49.102,0.17447
"245.0786 / 1.59",20.573,0.20874
"245.0800 / 20.44",9.9476,0.11099
"245.1136 / 3.01  M-H-",-6.3326,-0.028801
"245.1141 / 1.88",-91.181,-0.57408
"245.1389 / 20.67  MAcO-H-",-11.269,-0.079662
"245.8953 / 28.85",-2.4351,-0.12418
"245.9472 / 2.45",96.2,0.87329
"245.9828 / 2.48  M-H-",-32.09,-0.49426
"246.0517 / 18.56",26.418,0.11257
"246.0757 / 2.78",5.4187,0.15562
"246.9505 / 9.57",-38.117,-0.16277
"246.9911 / 6.51",-6.5841,-0.027941
"247.0137 / 3.36",-21.33,-0.14241
"247.0142 / 2.62",-33.279,-0.50385
"247.0583 / 10.67",-39.93,-0.49927
"247.0583 / 20.29  MTFA-H-",-42.448,-0.32268
"247.0922 / 1.45",56.397,0.45532
"247.0959 / 21.53  M-H-",2.676,0.063892
"247.1086 / 9.56",-222.39,-0.72268
"247.1117 / 2.76",-150.96,-0.48049
"247.1706 / 22.73",4.2946,0.08869
"247.1715 / 21.38  M-H2O-H-",52.354,0.55566
"248.0584 / 11.45",251.76,0.75333
"248.0601 / 9.02  M-H-",135.61,0.52684
"248.1047 / 20.70",-9.262,-0.037449
"248.1138 / 2.73",-45.144,-0.1562
"248.1145 / 13.52  M-H-",-20.531,-0.10499
"248.1162 / 7.35",252.58,0.81025
"248.9608 / 29.31  2MNa-2H-",5.242,0.25972
"249.0377 / 6.44",15.098,0.14436
"249.0620 / 6.73",33.489,0.21862
"249.0764 / 21.34",1.8891,0.084897
"249.0852 / 6.82  MNa-2H-",-21.798,-0.11296
"249.0908 / 1.91",-85.18,-0.33149
"249.1114 / 21.33  M-H-",3.9058,0.099423
"249.1496 / 22.13  M-H-",-2.1084,-0.059555
"249.1504 / 23.08",-0.40815,-0.035604
"249.1860 / 23.19",-0.28083,-0.0045541
"249.9774 / 5.95  MAcO-H-",-64.463,-0.20332
"249.9775 / 11.92  MAcO-H-",-80.009,-0.34393
"249.9777 / 13.87",-78.749,-0.28576
"249.9778 / 0.03  MAcO-H-",-8.7697,-0.025219
"249.9785 / 2.65  MAcO-H-",-17.914,-0.36612
"249.9785 / 32.00  MAcO-H-",-27.374,-0.11989
"249.9786 / 17.97",-54.579,-0.19941
"249.9786 / 4.89  MAcO-H-",83.103,0.33442
"249.9789 / 17.16",5.4676,0.019564
"249.9790 / 0.95  MAcO-H-",-2.6509,-0.077688
"249.9790 / 11.02  MAcO-H-",-24.343,-0.077826
"249.9790 / 15.65",73.746,0.27986
"249.9791 / 16.26  MAcO-H-",-0.97159,-0.0035089
"249.9791 / 6.81  MAcO-H-",-13.286,-0.041459
"249.9792 / 4.14",15.624,0.12545
"249.9793 / 29.88",-40.44,-0.15214
"249.9794 / 14.86  MAcO-H-",-77.927,-0.29977
"249.9795 / 3.62  MAcO-H-",5.6139,0.039117
"249.9795 / 30.87",-41.542,-0.16397
"249.9795 / 31.47  MAcO-H-",2.7647,0.011238
"249.9799 / 7.35  MNa-2H-",-126.02,-0.37148
"249.9799 / 9.29  MAcO-H-",-23.984,-0.11326
"249.9801 / 8.03  MAcO-H-",-6.1172,-0.018777
"249.9804 / 10.13  MAcO-H-",-40.752,-0.14899
"249.9808 / 12.64",-114.72,-0.41168
"250.0190 / 21.97",-103.13,-0.40265
"250.1452 / 22.85",6.2075,0.283
"251.0782 / 5.95",-63.075,-0.32367
"251.1030 / 2.29",-194.71,-0.66342
"251.1033 / 2.89",-220.46,-0.68309
"251.1255 / 21.81  M-H2O-H-",-1.4965,-0.079946
"251.9730 / 8.93",-131.31,-0.49246
"251.9931 / 9.85",-108.42,-0.39153
"252.0158 / 21.97",-114.03,-0.41378
"252.0866 / 10.30",39.722,0.27631
"252.1062 / 2.86",-65.68,-0.29045
"252.1247 / 8.26",-6.0592,-0.030555
"253.0834 / 22.41",13.571,0.067363
"253.1051 / 19.95",11.06,0.45166
"253.1202 / 7.25",205.23,0.74732
"253.1425 / 22.44",4.3455,0.3703
"253.1457 / 21.38",0.47913,0.0136
"253.2179 / 23.61",1.834,0.044152
"254.0647 / 2.33",55.379,0.50683
"254.1463 / 22.46",4.4308,0.37313
"255.0878 / 18.94",-81.173,-0.30251
"255.1141 / 20.50",-26.916,-0.29798
"255.1354 / 15.71",50.474,0.21128
"255.1972 / 22.36",0.12891,0.018582
"255.2323 / 26.60",14.767,0.043537
"255.2335 / 27.78",1.428,0.051178
"255.2336 / 24.40",28.976,0.27623
"255.2340 / 23.90  M-H-",0.39943,0.071558
"256.0589 / 1.56",33.467,0.19645
"256.0593 / 14.83",52.816,0.36898
"256.0808 / 2.45",15.078,0.21384
"256.0937 / 2.25",-18.659,-0.20688
"256.0938 / 3.50",-152.2,-0.50731
"256.1305 / 1.56",-141.18,-0.60348
"256.1557 / 19.41",0.61587,0.0031034
"256.1563 / 6.57",-35.013,-0.14641
"256.2375 / 23.93",1.8036,0.31323
"257.0562 / 4.46",40.484,0.25236
"257.0565 / 1.50",118.42,0.84082
"257.0774 / 2.70",-35.935,-0.22302
"257.0775 / 4.11",53.573,0.74515
"257.0797 / 20.52",-85.078,-0.36208
"257.1008 / 3.98  2MNa-2H-",-1.4658,-0.02055
"257.1027 / 3.23  2MNa-2H-",74.171,0.72778
"257.1764 / 22.62  MAcO-H-",49.01,0.60519
"258.0073 / 7.18",59.446,0.19883
"258.0400 / 11.52",150.48,0.49299
"258.0439 / 11.02",135.43,0.5684
"258.1452 / 2.38  M-H-",-207.98,-0.63522
"258.1454 / 1.88  M-H-",-199.75,-0.65561
"258.1819 / 1.47",-222.55,-0.76015
"259.0293 / 20.03",-16.545,-0.069757
"259.0757 / 7.57",-229.12,-0.707
"259.1190 / 16.35  M-H-",122.94,0.50205
"259.1191 / 15.61  M-H-",63.267,0.32301
"259.1193 / 14.13",12.676,0.057016
"259.1293 / 2.12",-221.98,-0.63514
"259.1295 / 2.73  M-H-",-280.16,-0.77979
"259.1298 / 5.07  MAcO-H-",33.865,0.19872
"260.0005 / 2.37",-5.9771,-0.11811
"260.0238 / 2.30  M-H-",22.134,0.28819
"260.0240 / 9.56",-226.44,-0.59651
"260.0541 / 9.04",71.112,0.3891
"260.1034 / 4.60",-204.7,-0.65215
"260.1254 / 1.81",-81.691,-0.30857
"260.1328 / 5.04",52.474,0.25544
"261.0074 / 9.24",-109.36,-0.39886
"261.0081 / 8.63",61.954,0.22636
"261.0279 / 2.49",4.2777,0.11666
"261.0384 / 11.64",14.751,0.078838
"261.0603 / 13.38",156,0.57083
"261.0627 / 14.11",172.32,0.59176
"261.0742 / 21.38  MNa-2H-",-24.481,-0.23292
"261.0743 / 17.29",147.78,0.62923
"261.1230 / 9.28  M-H-",-53.051,-0.30289
"261.1239 / 9.92",-178.1,-0.47239
"261.1269 / 4.50",-252.64,-0.75314
"261.1275 / 5.32",-248.63,-0.72829
"261.1348 / 14.49  MAcO-H-",-38.533,-0.1716
"261.1379 / 11.07",14.68,0.050406
"262.0659 / 19.97",-0.76264,-0.003368
"262.0866 / 1.57",-57.017,-0.24754
"262.1835 / 19.21",191.65,0.74055
"262.9875 / 9.30  M-H-",30.897,0.10912
"263.0241 / 3.33",82.814,0.45143
"263.0528 / 11.54",60.627,0.48391
"263.0538 / 6.67  MAcO-H-",52.816,0.37823
"263.0878 / 1.59",134.13,0.62265
"263.1010 / 11.72  MNa-2H-",-239.94,-0.75181
"263.1040 / 10.58  M-H-",23.464,0.21127
"263.1396 / 5.51  M-H-",-251.57,-0.72658
"263.1396 / 6.24  M-H-",-291.35,-0.74211
"263.1674 / 22.15",65.222,0.77391
"263.9370 / 11.43",-50.234,-0.25349
"263.9931 / 0.72",-16.849,-0.34545
"263.9933 / 16.91",-109.43,-0.48546
"263.9936 / 30.36",1.0763,0.0053418
"263.9937 / 30.97",-11.07,-0.057011
"263.9939 / 7.25",-2.2191,-0.0093418
"263.9940 / 21.34",-44.277,-0.23876
"263.9941 / 20.39",-33.154,-0.14297
"263.9943 / 9.50  M-",-59.373,-0.24595
"263.9944 / 11.43",-7.4137,-0.030217
"263.9944 / 19.73",-43.109,-0.16924
"263.9944 / 28.43",0.88358,0.049641
"263.9944 / 29.12",16.853,0.12318
"263.9945 / 16.15",-42.407,-0.15618
"263.9946 / 13.63",-37.97,-0.13754
"263.9946 / 14.38",-23.379,-0.096756
"263.9946 / 8.22",-33.377,-0.13564
"263.9947 / 15.61",-69.704,-0.2914
"263.9948 / 17.99  MTFA-H-",-93.073,-0.38876
"263.9949 / 12.46",-63.269,-0.2593
"263.9949 / 17.41",-9.5213,-0.046284
"263.9949 / 18.71",1.4549,0.0053083
"263.9950 / 10.17  MNa-2H-",-25.984,-0.10157
"264.0535 / 10.39",182.99,0.72126
"264.0880 / 13.03  MAcO-H-",-15.577,-0.065112
"264.1067 / 10.56",39.568,0.24378
"264.1580 / 21.74",7.0648,0.26725
"265.0100 / 1.62  M-H-",54.611,0.26791
"265.1034 / 20.23",4.7666,0.1189
"265.1188 / 3.36  M-H-",-277.45,-0.74451
"265.1461 / 21.17",197.31,0.74789
"265.1498 / 22.21",18.904,0.30804
"265.1813 / 21.38  M-H-",13.298,0.24726
"265.9342 / 11.40",-51.788,-0.19966
"266.0138 / 21.27  MCl-",-98.173,-0.33997
"266.0882 / 6.68",2.4392,0.01052
"266.1039 / 3.19  M-H-",132.83,0.57873
"266.1406 / 8.89  M-H-",43.768,0.20926
"266.1506 / 22.32",28.983,0.185
