"","Fold Change","log2(FC)"
"581.2759 / 16.62  MHK2",0.003306,-8.2407
"499.2505 / 5.61",0.0033065,-8.2405
"371.9496 / 22.48",0.0033119,-8.2381
"366.1656 / 18.33",0.0033132,-8.2376
"487.2953 / 1.85",0.0033188,-8.2351
"350.1500 / 14.81",0.0033198,-8.2347
"650.0031 / 18.98  M3H3",0.0033239,-8.2329
"478.2626 / 13.26  M2H2",0.0033321,-8.2293
"542.7742 / 13.94",0.0033354,-8.2279
"375.1522 / 5.70",0.0033513,-8.2211
"525.2661 / 1.56",0.0033523,-8.2206
"345.1766 / 2.19",0.003355,-8.2195
"595.3062 / 19.40  MNa",0.0033576,-8.2183
"461.0053 / 12.53  M4H4",0.003359,-8.2178
"391.9874 / 21.56",0.0033681,-8.2138
"316.1507 / 2.35",0.0033685,-8.2137
"445.1928 / 11.78",0.0033708,-8.2127
"477.2701 / 14.91",0.0033759,-8.2105
"391.2358 / 11.38",0.0033804,-8.2086
"355.1620 / 7.80",0.0033813,-8.2082
"341.1667 / 3.45",0.0033822,-8.2078
"562.2518 / 11.06",0.0033867,-8.2059
"461.2598 / 12.46",0.0033924,-8.2035
"201.1234 / 8.56",0.0033926,-8.2034
"723.8717 / 19.66",0.0033968,-8.2016
"131.9157 / 13.01",0.0034099,-8.1961
"403.2543 / 12.62",0.0034132,-8.1947
"481.2234 / 12.47",0.0034143,-8.1942
"593.3018 / 16.02",0.0034164,-8.1933
"540.3391 / 19.20",0.0034163,-8.1933
"512.1734 / 10.46  MNa-2H-",0.0034196,-8.192
"836.3761 / 10.80  MNa-2H-",0.0034244,-8.1899
"408.1808 / 12.71",0.0034296,-8.1878
"567.7803 / 18.81  M2H2",0.0034307,-8.1873
"314.1142 / 15.17",0.0034356,-8.1852
"853.3573 / 20.97",0.0034425,-8.1823
"270.1932 / 4.93",0.0034562,-8.1766
"700.3783 / 11.41",0.0034572,-8.1762
"487.2656 / 15.30",0.0034723,-8.1699
"561.7800 / 20.88  M2Na2",0.0034897,-8.1627
"520.2776 / 13.49",0.0034933,-8.1612
"358.7075 / 2.56  M2NH42",0.0034937,-8.161
"490.2152 / 2.70  MH",0.0035028,-8.1573
"490.2645 / 13.53  MH",0.0035194,-8.1505
"562.2669 / 17.13",0.0035205,-8.15
"388.1543 / 16.27",0.0035248,-8.1483
"189.1237 / 11.44",0.0035303,-8.146
"602.2808 / 19.48",0.0035302,-8.146
"454.2061 / 14.55  M3H3",0.0035359,-8.1437
"217.1366 / 11.87",0.0035461,-8.1396
"215.1384 / 9.28",0.0035463,-8.1395
"918.4527 / 19.20  MNa-2H-",0.0035524,-8.137
"293.1129 / 3.92",0.0035635,-8.1325
"605.3310 / 11.29  M2H2",0.0035641,-8.1322
"261.1450 / 2.73",0.0035658,-8.1315
"488.1991 / 2.70",0.0035677,-8.1308
"543.3154 / 9.58",0.0035729,-8.1287
"385.8862 / 9.09",0.0035825,-8.1248
"433.7071 / 12.59  M2H2",0.0035838,-8.1243
"309.1301 / 0.47",278.88,8.1235
"401.2387 / 10.92",0.0035939,-8.1202
"502.2859 / 12.78",0.0035954,-8.1196
"583.2752 / 18.50  M4H4",0.0035981,-8.1186
"346.1623 / 2.70",0.0036147,-8.1119
"258.1814 / 1.04  MH",0.0036155,-8.1116
"405.2135 / 13.55",0.0036154,-8.1116
"628.3309 / 19.82  MNa",0.003623,-8.1086
"604.2840 / 13.62",0.0036263,-8.1073
"478.7536 / 15.76  M4H4",0.0036269,-8.107
"644.3276 / 19.75  M2H2",0.0036321,-8.105
"452.2252 / 2.56",0.0036355,-8.1036
"472.2884 / 2.47  2MNH4",0.0036441,-8.1002
"548.2579 / 3.21",0.0036453,-8.0997
"382.1625 / 4.87",0.0036534,-8.0966
"242.1982 / 2.47",0.0036557,-8.0956
"896.4568 / 19.85  MNa",0.0036578,-8.0948
"717.3191 / 12.55",0.0036599,-8.094
"559.3017 / 19.52  MHNa2",0.0036637,-8.0925
"423.1703 / 12.20",0.0036765,-8.0875
"539.3028 / 18.66",0.0036873,-8.0832
"346.2436 / 1.00",0.0036923,-8.0813
"589.3198 / 16.01  M2H2",0.0036989,-8.0787
"361.2076 / 12.32",0.0037042,-8.0766
"447.9653 / 22.89  M-H-",0.0037089,-8.0748
"446.2617 / 6.68",0.0037113,-8.0739
"360.1591 / 16.23",0.0037164,-8.0719
"397.2194 / 8.45  M-H-",0.0037258,-8.0682
"406.1946 / 17.93",0.0037407,-8.0625
"668.3600 / 20.14",0.0037472,-8.06
"371.2043 / 5.55  M",0.0037494,-8.0591
"609.3243 / 9.26",0.0037519,-8.0582
"599.3158 / 8.41",0.0037531,-8.0577
"842.4780 / 20.07",0.0037553,-8.0569
"354.1665 / 3.98  MNa",0.0037555,-8.0568
"442.2647 / 0.47",265.9,8.0548
"860.4232 / 19.79",0.0037626,-8.0541
"567.2035 / 3.35",0.0037639,-8.0536
"514.2296 / 15.23",0.0037641,-8.0535
"527.2748 / 15.96  M2H2",0.0037675,-8.0522
"466.2244 / 8.07  M3H3",0.003773,-8.0501
"738.3438 / 19.63",0.0037819,-8.0467
"397.6993 / 20.02",0.0037829,-8.0463
"260.1976 / 1.48",0.0037848,-8.0456
"287.1368 / 5.55  MNa",0.0037922,-8.0427
"528.2626 / 15.24  MHNa2",0.0037936,-8.0422
"410.2122 / 17.26",0.0038009,-8.0394
"372.2130 / 11.06",0.0038021,-8.039
"355.1939 / 1.12",0.0038083,-8.0367
"187.1446 / 2.41",0.003809,-8.0364
"488.2731 / 9.78  MH",0.0038103,-8.0359
"419.1552 / 10.46",0.0038408,-8.0244
"582.3154 / 19.51  M-H-",0.0038526,-8.02
"488.2504 / 15.10",0.0038527,-8.0199
"536.2390 / 10.86",0.0038708,-8.0131
"572.2676 / 8.90  M-H-",0.0038719,-8.0127
"515.2203 / 14.38  M2H2",0.0038749,-8.0116
"818.4189 / 18.69",0.003889,-8.0064
"237.0913 / 2.36",0.0038921,-8.0052
"522.2501 / 12.40",0.0038956,-8.0039
"741.8973 / 10.65  M-2H2-",0.0038956,-8.0039
"510.2663 / 10.92",0.0038998,-8.0024
"547.2772 / 18.66  M2Na2",0.0039029,-8.0012
"205.0982 / 3.72",0.0039059,-8.0001
"448.1692 / 5.39",0.003922,-7.9942
"519.3177 / 18.97",0.0039303,-7.9911
"493.2378 / 6.34",0.0039375,-7.9885
"404.7305 / 19.97  MHNa2",0.003939,-7.988
"633.3344 / 10.74",0.0039413,-7.9871
"492.2446 / 14.41",0.003943,-7.9865
"752.8871 / 10.65  M-2H2-",0.0039615,-7.9798
"719.3300 / 12.53",0.0039754,-7.9747
"417.2230 / 19.06",0.003976,-7.9745
"380.1949 / 2.51",0.0039777,-7.9738
"772.4102 / 19.99  MH",0.0039863,-7.9707
"287.1720 / 2.61",0.0040043,-7.9642
"461.2470 / 12.43",0.0040174,-7.9595
"910.4889 / 19.34",0.0040236,-7.9573
"336.1381 / 10.09",0.0040347,-7.9533
"229.1553 / 15.50",0.0040363,-7.9528
"245.2346 / 1.00",0.0040401,-7.9514
"618.3445 / 16.65",0.0040456,-7.9494
"558.2373 / 20.77  M-H-",0.0040518,-7.9472
"396.8757 / 12.63  M3H3",0.0040546,-7.9462
"451.2669 / 11.29",0.0040549,-7.9461
"544.2815 / 17.96",0.0040557,-7.9458
"217.1556 / 2.15",0.0040596,-7.9445
"574.2845 / 8.89",0.0040694,-7.941
"562.3236 / 19.02",0.0040708,-7.9405
"684.3080 / 19.46",0.0040711,-7.9404
"919.4394 / 19.45  2M-H-",0.0040821,-7.9365
"515.2821 / 8.65  MNH4",0.0040876,-7.9345
"449.2754 / 18.30",0.0040961,-7.9315
"395.1562 / 3.26",0.0041023,-7.9294
"572.1156 / 12.18",0.0041034,-7.9289
"155.0828 / 2.69",0.0041171,-7.9241
"387.1876 / 16.09",0.0041178,-7.9239
"546.2397 / 11.15",0.0041277,-7.9204
"793.3367 / 20.97  MNa-2H-",0.0041338,-7.9183
"446.2606 / 4.69",0.0041345,-7.9181
"279.1718 / 11.13",0.0041407,-7.9159
"617.7358 / 20.11",0.0041463,-7.914
"536.9773 / 13.17",0.0041546,-7.9111
"685.8395 / 18.82",0.0041675,-7.9066
"312.1556 / 13.87",0.0041772,-7.9033
"471.1869 / 10.35",0.0041772,-7.9032
"490.2489 / 3.09",0.0041776,-7.9031
"462.2174 / 3.22",0.0041826,-7.9014
"245.1872 / 5.71",0.0041957,-7.8969
"417.2501 / 16.88",0.0042088,-7.8924
"477.2536 / 14.77",0.0042201,-7.8885
"394.0055 / 21.56  MNa",0.0042392,-7.882
"423.2209 / 8.50  MNa",0.0042398,-7.8818
"327.1349 / 9.50  M-H-",0.0042532,-7.8772
"369.6892 / 1.80",0.0042536,-7.8771
"366.1662 / 5.39",0.0042568,-7.876
"533.2846 / 12.17  MHNa2",0.004261,-7.8746
"320.1819 / 2.26",0.0042641,-7.8735
"541.2343 / 16.14",0.0042774,-7.869
"954.5047 / 19.65  M-2H2-",0.0042778,-7.8689
"223.1557 / 8.36",0.0042811,-7.8678
"667.3098 / 15.33",0.0042861,-7.8661
"448.1663 / 9.28",0.0042959,-7.8628
"492.2471 / 12.70",0.0043084,-7.8586
"579.2606 / 19.03",0.0043091,-7.8584
"376.1727 / 3.76",0.0043129,-7.8571
"385.2325 / 10.49",0.004319,-7.8551
"267.1458 / 1.54",0.0043215,-7.8543
"553.2998 / 20.02",0.004323,-7.8537
"704.8609 / 20.58  M-2H2-",0.0043251,-7.853
"392.1423 / 13.70  MNa-2H-",0.0043256,-7.8529
"417.2038 / 11.03  M-H-",0.0043283,-7.852
"398.2040 / 1.87",0.0043301,-7.8514
"619.3436 / 12.32  M-H-",0.0043351,-7.8497
"811.4675 / 17.29",0.004343,-7.8471
"458.2703 / 20.08",0.004344,-7.8467
"477.2536 / 12.46",0.0043515,-7.8443
"710.2940 / 20.53  MNa",0.0043524,-7.844
"494.2758 / 18.47  M2H2",0.0043632,-7.8404
"328.1377 / 8.81",0.004366,-7.8395
"390.1471 / 14.14",0.0043807,-7.8346
"760.8799 / 16.37  M-2H2-",0.0043809,-7.8346
"345.2142 / 8.01  MNH4",0.0043939,-7.8303
"971.4625 / 22.10",0.0043947,-7.83
"203.2232 / 1.00",0.0043993,-7.8285
"638.3522 / 19.66",0.0044087,-7.8254
"706.3491 / 20.20  M-2H2-",0.0044157,-7.8232
"366.2015 / 7.07",0.004416,-7.8231
"447.2612 / 18.30",0.0044246,-7.8202
"866.9187 / 12.86  M-2H2-",0.004428,-7.8191
"709.3225 / 19.57  M2H2",0.0044314,-7.818
"222.9959 / 7.59",0.0044317,-7.8179
"726.3780 / 19.78  MNa",0.0044421,-7.8145
"353.1464 / 7.82  M-H-",0.0044492,-7.8122
"343.1617 / 1.78",0.0044571,-7.8097
"334.0494 / 16.06",224.3,7.8093
"435.1816 / 10.96",0.0044612,-7.8083
"560.2540 / 8.73",0.0044711,-7.8051
"355.1616 / 9.75  M-H2O-H-",0.0044791,-7.8026
"229.1549 / 9.83",0.0044826,-7.8014
"501.3052 / 1.47",0.0044904,-7.7989
"364.1870 / 13.14",0.0044975,-7.7966
"178.0632 / 3.16  M-H-",222.08,7.795
"174.0586 / 16.27",0.0045169,-7.7904
"672.8620 / 19.63",0.0045192,-7.7897
"256.1774 / 8.50  MH",0.0045238,-7.7883
"660.6593 / 19.63  M3H3",0.0045268,-7.7873
"295.1300 / 3.02  MNH4",0.00453,-7.7863
"253.1195 / 2.92  MNH4",0.0045339,-7.785
"673.3228 / 19.64",0.0045415,-7.7826
"358.1430 / 14.91",0.00455,-7.7799
"358.1541 / 8.30",0.0045511,-7.7796
"574.3170 / 13.32",0.0045541,-7.7786
"394.8799 / 14.27  M3H3",0.004555,-7.7783
"879.4243 / 19.23",0.0045551,-7.7783
"346.2172 / 8.04",0.0045646,-7.7753
"229.1185 / 9.35",0.0045675,-7.7744
"491.2503 / 15.86  M-H-",0.0045766,-7.7715
"872.3835 / 17.38",0.0045922,-7.7666
"754.4119 / 19.83  MNa",0.004602,-7.7635
"484.2765 / 19.65",0.0046067,-7.762
"547.3096 / 12.83",0.0046138,-7.7598
"698.3732 / 14.73",0.004614,-7.7598
"530.2739 / 3.47",0.0046143,-7.7597
"485.2006 / 10.24",0.0046231,-7.7569
"693.8644 / 19.93  M2H2",0.0046241,-7.7566
"428.2124 / 5.71",0.0046614,-7.745
"523.2736 / 15.08  M2H2",0.0046748,-7.7409
"962.4434 / 19.39  M-H-",0.0046941,-7.7349
"414.1892 / 12.61",0.0046973,-7.734
"441.2134 / 14.89",0.0047036,-7.732
"685.8089 / 11.63  M2H2",0.0047037,-7.732
"253.1524 / 3.08",0.0047132,-7.7291
"354.2002 / 9.24  MNa",0.0047287,-7.7243
"469.2616 / 18.73  M2H2",0.0047298,-7.724
"566.3173 / 19.43",0.0047387,-7.7213
"807.5608 / 26.70",0.0047386,-7.7213
"294.0565 / 19.51",210.71,7.7191
"479.1507 / 19.39",0.0047555,-7.7162
"460.2518 / 10.20  M2HNa3",0.0047597,-7.7149
"314.1349 / 2.76  M-H2O-H-",0.0047638,-7.7137
"558.2790 / 17.79  M2",0.004767,-7.7127
"473.2978 / 19.48",0.0047806,-7.7086
"700.3458 / 21.15  M2H2",0.0047814,-7.7084
"537.2926 / 15.50  M4H4",0.0047864,-7.7068
"330.2372 / 11.05",0.0047903,-7.7057
"484.2018 / 10.92",0.0047917,-7.7052
"537.2694 / 14.40",0.0048049,-7.7013
"524.2511 / 14.86  MNa",0.004805,-7.7012
"709.3324 / 20.46  3M2Na-3H-",0.0048122,-7.6991
"472.2740 / 7.69",0.0048165,-7.6978
"815.4161 / 10.90",0.0048242,-7.6955
"501.1936 / 8.31",0.0048284,-7.6943
"672.8394 / 19.88",0.0048305,-7.6936
"489.2006 / 18.82  M-H-",0.0048372,-7.6916
"207.1102 / 11.22",0.0048433,-7.6898
"510.2682 / 2.67  MCH3OHH",0.0048628,-7.684
"237.1247 / 3.21  MH",0.0048755,-7.6802
"478.2414 / 2.56  MH",0.0048872,-7.6768
"402.1771 / 2.15",0.0048878,-7.6766
"528.2779 / 1.56",0.0048969,-7.6739
"458.2361 / 2.58",0.0049068,-7.671
"338.1782 / 12.00",0.004924,-7.666
"679.3381 / 19.57  M2H2",0.0049238,-7.666
"218.1502 / 1.12",0.0049398,-7.6613
"503.2469 / 7.91",0.0049444,-7.66
"444.2083 / 2.60",0.0049509,-7.6581
"273.1932 / 1.06",0.0049549,-7.6569
"360.9568 / 19.10",0.0049649,-7.654
"551.2662 / 17.04",0.0049688,-7.6529
"786.4703 / 19.97  MH",0.0049704,-7.6524
"579.2627 / 19.31  M3H3",0.0049723,-7.6519
"496.1019 / 11.35",200.56,7.6479
"482.2604 / 18.88",0.0049883,-7.6472
"523.2402 / 15.40  MNa",0.0050105,-7.6408
"361.1347 / 26.29",199.13,7.6376
"424.1713 / 6.79  MH",0.0050389,-7.6327
"264.1466 / 5.35  M",0.0050403,-7.6323
"397.9951 / 22.27",0.0050483,-7.63
"391.2022 / 10.32",0.0050545,-7.6282
"878.8860 / 20.14  M-2H2-",0.0050609,-7.6264
"582.3633 / 9.13",0.0050618,-7.6261
"589.2840 / 7.43",0.0050853,-7.6195
"678.3296 / 19.18",0.0050911,-7.6178
"270.1092 / 3.41",0.0051029,-7.6145
"360.2130 / 7.75  MCH3OHH",0.0051132,-7.6116
"718.3048 / 14.73",0.0051147,-7.6111
"619.8483 / 18.70",0.0051345,-7.6056
"431.2508 / 7.78  MCH3OHH",0.0051449,-7.6027
"600.3254 / 19.07  M3H3",0.0051459,-7.6024
"620.2967 / 20.60  MH",0.0051566,-7.5994
"383.9906 / 9.00  MNa-2H-",0.0051629,-7.5976
"399.1877 / 4.50",0.0051725,-7.5949
"418.1920 / 11.46",0.0052,-7.5873
"513.2346 / 15.45  MNa-2H-",0.0052139,-7.5834
"185.9958 / 9.07",0.005215,-7.5831
"280.1745 / 11.35",0.0052293,-7.5792
"403.3018 / 1.00",0.0052295,-7.5791
"606.3507 / 19.82  MH",0.0052426,-7.5755
"209.1903 / 0.47",190.43,7.5731
"338.1481 / 12.10  MNa-2H-",0.005256,-7.5718
"342.2385 / 14.63",0.005298,-7.5603
"201.1239 / 13.65",0.0053035,-7.5588
"288.2033 / 8.62  MCH3OHH",0.00532,-7.5544
"790.3755 / 20.01",0.005327,-7.5524
"523.7728 / 15.12",0.0053405,-7.5488
"417.2128 / 13.52  M-H-",0.0053408,-7.5487
"564.3038 / 19.44  M-H2O-H-",0.0053465,-7.5472
"251.2379 / 0.47",186.81,7.5454
"279.1715 / 10.12",0.0053562,-7.5446
"333.1923 / 7.69  MH",0.0053618,-7.5431
"705.8316 / 15.04",0.0053667,-7.5417
"374.1554 / 4.47",0.0053715,-7.5405
"360.2038 / 6.71",0.0053741,-7.5398
"524.2869 / 17.59",0.0053753,-7.5394
"338.1539 / 3.72",0.0053799,-7.5382
"454.2654 / 13.71  M-H2O-H-",0.0053838,-7.5371
"288.2035 / 1.57",0.0053854,-7.5367
"579.9476 / 18.14  M3H3",0.0053924,-7.5349
"363.1880 / 7.98",0.0053958,-7.5339
"643.3250 / 2.60",0.0054009,-7.5326
"638.0229 / 19.66  M3H3",0.0054015,-7.5324
"120.0809 / 5.55",0.0054135,-7.5292
"417.2446 / 1.03  3MNa-2H-",0.0054142,-7.529
"430.2286 / 2.45  MNH4",0.0054169,-7.5283
"334.1275 / 8.26",184.61,7.5283
"545.2427 / 19.25",0.005432,-7.5243
"270.1931 / 2.47",0.005433,-7.524
"295.1658 / 7.60",0.0054445,-7.521
"573.3239 / 19.40  MH",0.005447,-7.5203
"505.7265 / 8.72  M2H2",0.0054604,-7.5168
"384.1830 / 4.15",0.0054674,-7.5149
"498.3036 / 13.05",0.0054719,-7.5138
"266.1406 / 8.89  M-H-",182.43,7.5112
"354.2119 / 0.47",182.38,7.5108
"316.1658 / 11.89  M-H-",0.005485,-7.5103
"777.8623 / 18.79",0.0054949,-7.5077
"474.2907 / 3.22",0.0054986,-7.5067
"604.8167 / 14.27  M2H2",0.0055263,-7.4995
"549.6220 / 19.70  M3H3",0.005553,-7.4925
"696.3568 / 8.85",0.0055707,-7.4879
"358.1702 / 14.85",0.0055809,-7.4853
"311.1397 / 12.98  M-H-",0.0055842,-7.4844
"647.3455 / 19.22",0.0055984,-7.4808
"617.2777 / 10.98",0.0055985,-7.4807
"207.0856 / 5.71",178.24,7.4777
"873.4176 / 21.10",0.0056106,-7.4776
"251.1373 / 4.86  MNa",0.0056169,-7.476
"422.1552 / 11.46",0.005619,-7.4755
"301.1172 / 3.32",0.0056269,-7.4735
"823.9288 / 17.64  M-2H2-",0.0056355,-7.4712
"451.2185 / 14.12",0.0056401,-7.4701
"486.3287 / 19.02",0.0056468,-7.4684
"428.1494 / 8.98",0.0056487,-7.4679
"522.7891 / 12.16",0.0056499,-7.4675
"899.0973 / 13.59",0.0056558,-7.4661
"287.1265 / 22.10  M-H-",0.0056717,-7.462
"294.1162 / 2.98",0.0056878,-7.4579
"289.1159 / 3.37  MNa",0.0056923,-7.4568
"399.0737 / 17.79  MNa-2H-",175.27,7.4535
"451.7486 / 11.00",0.0057123,-7.4517
"674.3706 / 12.82",0.0057124,-7.4517
"448.2153 / 17.13  M3H3",0.0057309,-7.447
"484.2403 / 4.82  M-H-",0.0057327,-7.4466
"355.1975 / 3.34",0.0057336,-7.4464
"327.2140 / 7.21",0.0057427,-7.4441
"992.6995 / 25.68",0.0057439,-7.4437
"371.2291 / 6.50",0.0057465,-7.4431
"525.7472 / 17.70  M-2H2-",0.0057556,-7.4408
"213.1588 / 11.05",0.0057568,-7.4405
"471.2231 / 20.23  M-H-",0.0057798,-7.4348
"293.1140 / 2.70  MCH3OHH",0.0057816,-7.4343
"637.3029 / 0.47",172.67,7.4319
"404.2140 / 2.25",0.005819,-7.425
"512.7466 / 18.85",0.005819,-7.425
"522.2946 / 12.13  M2H2",0.0058386,-7.4202
"350.1712 / 9.57",0.0058386,-7.4202
"624.6632 / 19.89  M3H3",0.0058422,-7.4193
"231.1138 / 14.08",0.0058452,-7.4185
"667.8575 / 16.94",0.0058568,-7.4157
"581.3153 / 16.22  M2H2",0.0058649,-7.4137
"187.1087 / 4.74",0.005866,-7.4134
"576.2598 / 2.32  MK",0.0058764,-7.4109
"465.2248 / 20.46  M-H-",0.0058784,-7.4104
"450.2171 / 10.13  MHNa2",0.0058818,-7.4095
"555.2759 / 16.81",0.0058857,-7.4086
"522.2170 / 17.99",0.0058971,-7.4058
"547.7628 / 13.44  M2",0.005903,-7.4043
"880.9018 / 20.12  M2H2",0.0059035,-7.4042
"405.8823 / 9.45  M3H3",0.0059238,-7.3993
"750.3912 / 19.37",0.0059429,-7.3946
"315.1746 / 11.94",0.0059465,-7.3937
"497.7582 / 20.52",0.0059478,-7.3934
"694.3032 / 12.29  M-H-",0.0059501,-7.3929
"197.1290 / 2.57  MH",0.0059546,-7.3918
"642.8422 / 19.65  M2H2",0.0059582,-7.3909
"244.1655 / 5.52",0.0059604,-7.3904
"334.1364 / 12.89  M-H-",0.0059791,-7.3858
"82.9976 / 9.58",0.005985,-7.3844
"454.2638 / 18.65",0.0059941,-7.3822
"520.5086 / 24.72",0.0060028,-7.3802
"603.7478 / 20.03  M-2H2-",0.0060024,-7.3802
"407.2107 / 9.42  M3H3",0.0060163,-7.3769
"314.1347 / 7.73",0.0060217,-7.3756
"392.0074 / 21.56  MNa",0.0060267,-7.3744
"775.3463 / 18.82  M-2H2-",0.0060358,-7.3722
"369.1774 / 12.57",0.0060716,-7.3637
"529.2619 / 10.67",0.0060812,-7.3614
"687.2983 / 20.55",0.0061022,-7.3565
"357.2128 / 10.68",0.0061044,-7.3559
"247.1086 / 9.56",0.0061058,-7.3556
"368.2291 / 2.54",0.0061062,-7.3555
"185.1658 / 3.40",0.0061219,-7.3518
"319.1087 / 8.81  MNa",0.0061269,-7.3506
"575.2931 / 8.09",0.0061411,-7.3473
"493.2299 / 10.76",0.0061435,-7.3467
"361.2053 / 2.18",0.0061484,-7.3456
"586.3337 / 15.33",0.0061868,-7.3366
"444.2922 / 2.73",0.0061974,-7.3341
"399.2351 / 8.45",0.006207,-7.3319
"275.2082 / 1.04  MNH4",0.0062156,-7.3299
"541.2881 / 15.54",0.0062175,-7.3294
"580.2974 / 12.89",0.0062271,-7.3272
"334.1979 / 3.69",0.0062281,-7.327
"502.2529 / 10.61",0.0062335,-7.3258
"550.2508 / 11.45",0.0062365,-7.3251
"374.2018 / 2.67  MNH4",0.0062377,-7.3248
"358.2714 / 16.70",0.0062381,-7.3247
"406.1968 / 14.51",0.0062383,-7.3246
"397.1488 / 19.42",0.0062521,-7.3214
"732.2752 / 20.53",0.0062618,-7.3192
"449.2064 / 7.29",0.0062636,-7.3188
"742.8979 / 10.62",0.0062634,-7.3188
"640.7928 / 20.21  MHK2",0.0062744,-7.3163
"414.7537 / 16.28",0.00628,-7.315
"263.1398 / 9.99",0.0062828,-7.3144
"704.9845 / 15.95  M3H3",0.0063071,-7.3088
"327.1624 / 4.79",0.0063153,-7.3069
"663.3166 / 17.54",0.0063153,-7.3069
"397.1608 / 5.43",0.0063283,-7.304
"473.7387 / 12.10",0.0063465,-7.2998
"376.1538 / 6.28",0.0063564,-7.2976
"658.3685 / 10.96",0.0063814,-7.2919
"573.3278 / 13.82",0.0063833,-7.2915
"425.2388 / 20.11  M-H-",0.0063884,-7.2903
"550.3091 / 19.23  M3H3",0.0063938,-7.2891
"778.3718 / 18.36",0.0064036,-7.2869
"519.2346 / 20.11  M-2H2-",0.0064147,-7.2844
"778.4067 / 20.67",0.0064258,-7.2819
"572.2636 / 12.43",0.0064356,-7.2797
"246.1876 / 5.71",0.0064517,-7.2761
"655.3826 / 19.63",0.0064583,-7.2746
"360.1524 / 17.36  MNa-2H-",0.0064674,-7.2726
"502.2868 / 8.28  MH",0.0064688,-7.2723
"388.1707 / 4.57",0.0064691,-7.2722
"366.2013 / 13.13",0.006474,-7.2711
"456.2203 / 16.44",0.0064772,-7.2704
"527.7512 / 14.82  M2H2",0.006478,-7.2702
"637.3540 / 19.56",0.0065014,-7.265
"263.1438 / 5.32  MH",0.0065227,-7.2603
"620.8057 / 20.15  M2",0.0065295,-7.2588
"559.3087 / 8.60",0.0065406,-7.2564
"387.1856 / 2.70",0.0065521,-7.2538
"890.4317 / 18.63",0.0065637,-7.2513
"655.3750 / 19.97",0.00657,-7.2499
"456.1424 / 12.99  MNa-2H-",0.0065771,-7.2483
"808.8937 / 9.28",0.0065773,-7.2483
"746.3326 / 19.71  M3H3",0.0065948,-7.2445
"840.8383 / 18.18  M-2H2-",0.0065963,-7.2441
"332.1452 / 2.76  M-H-",0.0065967,-7.244
"586.1306 / 16.29",0.006604,-7.2425
"565.3229 / 15.46",0.0066111,-7.2409
"338.1712 / 17.36  M-H-",0.0066205,-7.2389
"441.2044 / 6.37",0.0066219,-7.2385
"543.9509 / 19.93  M3H3",0.0066245,-7.238
"461.2329 / 12.45",0.0066264,-7.2376
"962.4684 / 19.26  M-2H2-",0.0066414,-7.2343
"563.7841 / 19.23  M2NH42",0.0066496,-7.2325
"370.0890 / 5.63",0.0066619,-7.2298
"430.1948 / 3.70  M2H2",0.0066683,-7.2285
"295.1285 / 3.97",0.0066769,-7.2266
"542.2242 / 19.95",0.0066774,-7.2265
"691.8467 / 19.92",0.00669,-7.2238
"369.2024 / 12.47",0.006697,-7.2223
"276.0185 / 10.87",149.02,7.2193
"473.2181 / 4.41",0.0067196,-7.2174
"126.0016 / 9.92",0.0067407,-7.2129
"397.1967 / 11.44",0.0067448,-7.212
"416.2632 / 14.69  M3H3",0.0067461,-7.2117
"456.2712 / 13.14",0.0067522,-7.2104
"493.7513 / 11.06",0.0067571,-7.2094
"588.2411 / 9.33",0.0068174,-7.1966
"408.2372 / 7.69",0.0068328,-7.1933
"267.1353 / 3.37  MH",0.0068356,-7.1927
"333.1982 / 10.88",0.0068373,-7.1924
"374.1672 / 1.56",0.0068427,-7.1912
"281.1141 / 4.29",0.0068546,-7.1887
"447.2335 / 14.99",0.0068691,-7.1857
"804.9113 / 19.65  M-2H2-",0.0068789,-7.1836
"466.2477 / 11.66",0.0068998,-7.1792
"575.2274 / 18.99",0.0069044,-7.1783
"483.7290 / 16.75",0.0069313,-7.1727
"311.1677 / 2.68  MH",0.0069371,-7.1714
"352.1485 / 6.05",0.0069416,-7.1705
"222.1507 / 8.92",143.98,7.1697
"736.8314 / 13.31",0.0069465,-7.1695
"619.3297 / 12.72  MAcO-H-",0.0069543,-7.1679
"430.2029 / 3.05",0.0069547,-7.1678
"723.0349 / 18.92",0.0069726,-7.1641
"207.9679 / 12.38  MAcO-H-",0.0069845,-7.1616
"399.1879 / 2.31",0.0070059,-7.1572
"447.2246 / 10.99  MHNa2",0.0070133,-7.1557
"953.4354 / 20.46  2MNa-2H-",0.007018,-7.1547
"463.1798 / 3.25  MNa",0.0070423,-7.1497
"473.9902 / 21.59",0.0070468,-7.1488
"523.9455 / 16.10",0.0070483,-7.1485
"401.2858 / 0.98",0.0070649,-7.1451
"601.2619 / 17.88  MHNa2",0.0070713,-7.1438
"539.2827 / 1.56",0.0070759,-7.1429
"344.1903 / 3.31",0.0070809,-7.1418
"643.2607 / 20.14",0.0070921,-7.1396
"951.4374 / 19.70",0.0070932,-7.1394
"568.2600 / 17.74",0.0070989,-7.1382
"703.5760 / 26.79",0.0071,-7.138
"316.1296 / 15.15",0.0071092,-7.1361
"443.1911 / 7.06",0.0071115,-7.1356
"215.1398 / 11.77",0.0071354,-7.1308
"400.1538 / 19.04  M-H2O-H-",0.0071516,-7.1275
"404.2208 / 8.05",0.007162,-7.1254
